session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,num_clocks
1,0,1,4.2,9.308149052153505,0.0,7,10
1,0,2,2.8,13.366155189528415,0.0,7,10
1,0,3,2.8,13.805166224207639,0.0,7,10
1,0,4,2.8,8.575463932230363,0.0,7,10
1,0,5,2.8,15.609095340458444,0.0,7,10
1,0,6,2.2,11.023536111630579,0.0,7,10
1,0,7,1.6,19.250891535769647,0.0,7,10
1,0,8,1.6,20.805462114714338,0.0,7,10
1,0,9,1.4,24.752714926534903,0.0,7,10
1,0,10,2.0,12.759781010091334,0.0,7,10
1,0,11,1.4,26.202498291747254,0.0,7,10
1,0,12,1.6,37.89618288073895,0.0,7,10
1,0,13,1.8,16.48427291220184,0.0,7,10
1,0,14,1.8,20.97315556244632,0.0,7,10
1,0,15,1.6,24.598257762906186,0.0,7,10
1,0,16,1.8,26.511666920510777,0.0,7,10
1,0,17,1.6,26.622027841095967,0.0,7,10
1,0,18,1.6,21.079062942448445,0.0,7,10
1,0,19,1.4,28.525220949466224,0.0,7,10
1,0,20,1.4,34.81565908039508,0.0,7,10
1,0,21,1.6,18.482363971937023,0.0,7,10
1,0,22,1.4,30.512498866227798,0.0,7,10
1,0,23,1.4,29.70188511894133,0.0,7,10
1,0,24,1.4,23.5089677151897,0.0,7,10
1,0,25,1.8,24.416723365856303,0.0,7,10
1,0,26,2.2,10.409880471199518,0.0,7,10
1,0,27,2.2,14.539379593204234,0.0,7,10
1,0,28,2.6,9.260384374117546,0.0,7,10
1,0,29,2.4,14.07057275827901,0.0,7,10
1,0,30,2.4,13.720087511339361,0.0,7,10
1,0,31,2.0,14.23610012065593,0.0,7,10
1,0,32,1.75,16.844935103602612,0.0,4,10
2,0,1,2.2,22.006745365245195,0.0,7,10
2,0,2,2.2,13.198977941302369,0.0,7,10
2,0,3,3.4,10.019540563474166,0.125,7,10
2,0,4,2.0,13.150033584372153,0.0,7,10
2,0,5,1.8,17.365695144009155,0.0,7,10
2,0,6,1.6,14.806985068705659,0.0,7,10
2,0,7,1.4,19.365275748147543,0.0,7,10
2,0,8,1.4,29.264628808166965,0.0,7,10
2,0,9,1.4,14.536116359697628,0.0,7,10
2,0,10,1.6,20.215967817095784,0.0,7,10
2,0,11,2.0,15.380676744271792,0.0,7,10
2,0,12,2.4,11.899884610739427,0.0,7,10
2,0,13,1.8,15.271107905036512,0.0,7,10
2,0,14,1.8,17.34465593763688,0.0,7,10
2,0,15,1.8,22.530811146700607,0.0,7,10
2,0,16,1.8,11.758143949597029,0.0,7,10
2,0,17,2.0,15.328089735248039,0.0,7,10
2,0,18,1.6,16.580056711585055,0.0,7,10
2,0,19,1.8,18.40469769315553,0.0,7,10
2,0,20,1.8,16.15285915053151,0.0,7,10
2,0,21,1.4,26.61628406142938,0.0,7,10
2,0,22,2.0,13.898743153934138,0.0,7,10
2,0,23,1.4,19.26176979544923,0.0,7,10
2,0,24,2.2,13.1543725667767,0.125,7,10
2,0,25,1.4,21.47363880668827,0.0,7,10
2,0,26,1.4,22.43537306590499,0.0,7,10
2,0,27,1.4,18.049765298834743,0.0,7,10
2,0,28,1.6,16.099336900854524,0.0,7,10
2,0,29,1.4,20.445638539621044,0.0,7,10
2,0,30,1.4,27.08338383729318,0.0,7,10
2,0,31,1.8,12.825852132845323,0.0,7,10
2,0,32,1.4,18.414890246996862,0.0,7,10
2,0,33,1.4,12.862712258997005,0.0,7,10
2,0,34,1.4,18.703967600488614,0.0,7,10
2,0,35,1.8,16.081686407374587,0.125,7,10
3,0,1,1.6,16.344616851180557,0.0,7,10
3,0,2,1.4,18.067102478186488,0.0,7,10
3,0,3,1.6,19.7558730276943,0.0,7,10
3,0,4,1.4,16.13569211194249,0.0,7,10
3,0,5,1.4,20.680120991700175,0.0,7,10
3,0,6,1.6,22.397156596708406,0.0,7,10
3,0,7,1.4,15.28854762287294,0.0,7,10
3,0,8,1.4,17.035849544475408,0.0,7,10
3,0,9,1.6,19.43385884924846,0.0,7,10
3,0,10,1.4,15.279409248261585,0.0,7,10
3,0,11,1.6,14.966455695318043,0.0,7,10
3,0,12,1.4,16.475378174873175,0.0,7,10
3,0,13,1.4,17.87033666684153,0.0,7,10
3,0,14,1.4,22.856039624333334,0.0,7,10
3,0,15,1.4,24.544450075279396,0.0,7,10
3,0,16,1.6,14.753626517544328,0.0,7,10
3,0,17,1.8,20.129758549529008,0.0,7,10
3,0,18,1.8,15.383740132159081,0.0,7,10
3,0,19,2.0,16.243940911583984,0.0,7,10
3,0,20,1.6,22.11383226583183,0.0,7,10
3,0,21,1.8,17.79746546126358,0.125,5,10
3,0,22,1.6,41.63500133915859,0.0,7,10
3,0,23,1.8,12.688736889586641,0.0,7,10
3,0,24,1.8,16.46816256583079,0.0,7,10
3,0,25,1.8,16.04189246415265,0.0,7,10
3,0,26,1.6,18.29006042482361,0.0,7,10
3,0,27,1.4,27.002705416426927,0.0,7,10
3,0,28,2.0,12.791514661059319,0.0,7,10
3,0,29,1.4,27.437922606042598,0.0,7,10
3,0,30,1.6,23.229458366057923,0.0,7,10
