Session Num,Phrase Num,Selection Num,Click Num,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,1.0,1.0,1,soft stop see it see ,soft ,soft,54,4.022,-0.0636,1638455782.16,0
1,1.0,1.0,2,soft stop see it see ,soft ,soft,54,4.022,0.0449,1638455785.109,2.9489998817443848
1,1.0,1.0,3,soft stop see it see ,soft ,soft,54,4.022,0.1464,1638455788.732,3.623000144958496
1,1.0,1.0,4,soft stop see it see ,soft ,soft,54,4.022,-0.0357,1638455794.749,6.016999959945679
1,1.0,2.0,1,soft stop see it see ,soft stop ,stop,47,4.022,0.1892,1638455800.094,5.3450000286102295
1,1.0,2.0,2,soft stop see it see ,soft stop ,stop,47,4.022,0.3455,1638455802.452,2.357999801635742
1,1.0,2.0,3,soft stop see it see ,soft stop ,stop,47,4.022,-0.0367,1638455804.428,1.9760000705718994
1,1.0,2.0,4,soft stop see it see ,soft stop ,stop,47,4.022,0.2202,1638455806.645,2.2170000076293945
1,1.0,3.0,1,soft stop see it see ,soft stop see ,see,40,4.022,-0.1572,1638455812.707,6.062000036239624
1,1.0,3.0,2,soft stop see it see ,soft stop see ,see,40,4.022,0.1146,1638455815.58,2.872999906539917
1,1.0,3.0,3,soft stop see it see ,soft stop see ,see,40,4.022,0.25,1638455816.556,0.9760000705718994
1,1.0,3.0,4,soft stop see it see ,soft stop see ,see,40,4.022,0.3943,1638455818.94,2.384000062942505
1,1.0,4.0,1,soft stop see it see ,soft stop see sad ,it,59,4.022,0.3883,1638455822.574,3.633999824523926
1,1.0,4.0,2,soft stop see it see ,soft stop see sad ,it,59,4.022,0.5218,1638455823.188,0.6140000820159912
1,1.0,4.0,3,soft stop see it see ,soft stop see sad ,it,59,4.022,0.5378,1638455827.204,4.016000032424927
1,1.0,4.0,4,soft stop see it see ,soft stop see sad ,it,59,4.022,0.3625,1638455829.549,2.3450000286102295
1,1.0,5.0,1,soft stop see it see ,soft stop see sad see ,see,40,4.022,0.1086,1638455835.893,6.343999862670898
1,1.0,5.0,2,soft stop see it see ,soft stop see sad see ,see,40,4.022,0.0917,1638455839.476,3.5830001831054688
1,1.0,5.0,3,soft stop see it see ,soft stop see sad see ,see,40,4.022,0.1882,1638455841.652,2.175999879837036
1,1.0,6.0,1,soft stop see it see ,soft stop see sad see .,.,.,4.022,0.1396,1638455852.044,10.391999959945679
1,1.0,6.0,2,soft stop see it see ,soft stop see sad see .,.,.,4.022,0.0349,1638455856.82,4.776000022888184
1,1.0,6.0,3,soft stop see it see ,soft stop see sad see .,.,.,4.022,0.259,1638455859.084,2.264000177383423
1,1.0,6.0,4,soft stop see it see ,soft stop see sad see .,.,.,4.022,0.2978,1638455861.364,2.2799999713897705
1,1.0,7.0,1,soft stop see it see ,soft stop see sad see ..,.,.,4.022,0.7279,1638455864.236,2.871999979019165
1,1.0,7.0,2,soft stop see it see ,soft stop see sad see ..,.,.,4.022,0.0201,1638455868.204,3.9679999351501465
1,1.0,7.0,3,soft stop see it see ,soft stop see sad see ..,.,.,4.022,0.3943,1638455871.181,2.9769999980926514
1,1.0,7.0,4,soft stop see it see ,soft stop see sad see ..,.,.,4.022,0.0987,1638455877.324,6.142999887466431
1,2.0,1.0,1,away something_different big i like ,,away,Options,4.022,-0.0537,1638456081.37,204.0460000038147
1,2.0,1.0,2,away something_different big i like ,,away,Options,4.022,0.2858,1638456082.071,0.7010002136230469
1,2.0,1.0,3,away something_different big i like ,,away,Options,4.022,0.0589,1638456085.604,3.5329999923706055
1,2.0,2.0,1,away something_different big i like ,scared ,away,68,4.022,-0.0636,1638456136.601,50.996999979019165
1,2.0,2.0,2,away something_different big i like ,scared ,away,68,4.022,0.5766,1638456139.604,3.003000020980835
1,2.0,2.0,3,away something_different big i like ,scared ,away,68,4.022,0.1624,1638456143.868,4.263999938964844
1,2.0,2.0,4,away something_different big i like ,scared ,away,68,4.022,0.7697,1638456146.637,2.7690000534057617
1,2.0,2.0,5,away something_different big i like ,scared ,away,68,4.022,0.4521,1638456201.598,54.960999965667725
1,2.0,3.0,1,away something_different big i like ,scared who ,something_different,12,4.022,0.6572,1638456202.965,1.366999864578247
1,2.0,3.0,2,away something_different big i like ,scared who ,something_different,12,4.022,0.3227,1638456207.709,4.744000196456909
1,2.0,3.0,3,away something_different big i like ,scared who ,something_different,12,4.022,0.7875,1638456211.976,4.266999959945679
1,2.0,3.0,4,away something_different big i like ,scared who ,something_different,12,4.022,0.4491,1638456214.436,2.4600000381469727
1,2.0,4.0,1,away something_different big i like ,scared who you ,big,28,4.022,0.4043,1638456216.03,1.5939998626708984
1,2.0,4.0,2,away something_different big i like ,scared who you ,big,28,4.022,0.4581,1638456216.564,0.5339999198913574
1,2.0,4.0,3,away something_different big i like ,scared who you ,big,28,4.022,0.3465,1638456218.892,2.328000068664551
1,2.0,4.0,4,away something_different big i like ,scared who you ,big,28,4.022,0.688,1638456221.596,2.7039999961853027
1,2.0,4.0,5,away something_different big i like ,scared who you ,big,28,4.022,0.4441,1638456224.031,2.434999942779541
1,2.0,5.0,1,away something_different big i like ,scared who you i ,i,10,4.022,1.2555,1638456227.285,3.254000186920166
1,2.0,5.0,2,away something_different big i like ,scared who you i ,i,10,4.022,0.1386,1638456233.484,6.198999881744385
1,2.0,5.0,3,away something_different big i like ,scared who you i ,i,10,4.022,0.0509,1638456237.956,4.4720001220703125
1,2.0,5.0,4,away something_different big i like ,scared who you i ,i,10,4.022,0.25,1638456240.796,2.8399999141693115
1,2.0,5.0,5,away something_different big i like ,scared who you i ,i,10,4.022,0.1464,1638456244.411,3.615000009536743
1,2.0,6.0,1,away something_different big i like ,scared who you i like ,like,39,4.022,0.1634,1638456271.188,26.776999950408936
1,2.0,6.0,2,away something_different big i like ,scared who you i like ,like,39,4.022,0.3217,1638456273.188,2.0
1,2.0,6.0,3,away something_different big i like ,scared who you i like ,like,39,4.022,0.231,1638456275.416,2.2279999256134033
1,2.0,6.0,4,away something_different big i like ,scared who you i like ,like,39,4.022,0.8165,1638456278.244,2.828000068664551
1,2.0,6.0,5,away something_different big i like ,scared who you i like ,like,39,4.022,0.2102,1638456280.435,2.190999984741211
1,2.0,7.0,1,away something_different big i like ,scared who you i like see ,.,40,4.022,0.0509,1638456290.796,10.361000061035156
1,2.0,7.0,2,away something_different big i like ,scared who you i like see ,.,40,4.022,-0.2887,1638456292.775,1.9790000915527344
1,2.0,7.0,3,away something_different big i like ,scared who you i like see ,.,40,4.022,0.4341,1638456294.26,1.4849998950958252
1,2.0,7.0,4,away something_different big i like ,scared who you i like see ,.,40,4.022,0.242,1638456299.267,5.006999969482422
1,2.0,7.0,5,away something_different big i like ,scared who you i like see ,.,40,4.022,0.7219,1638456301.988,2.7209999561309814
1,2.0,8.0,1,away something_different big i like ,scared who you i like see .,.,.,4.022,-0.0109,1638456308.172,6.184000015258789
1,2.0,8.0,2,away something_different big i like ,scared who you i like see .,.,.,4.022,-0.1702,1638456311.813,3.6410000324249268
1,2.0,8.0,3,away something_different big i like ,scared who you i like see .,.,.,4.022,0.0399,1638456314.144,2.3310000896453857
1,2.0,8.0,4,away something_different big i like ,scared who you i like see .,.,.,4.022,0.0369,1638456317.661,3.5169999599456787
1,2.0,8.0,5,away something_different big i like ,scared who you i like see .,.,.,4.022,0.1942,1638456319.859,2.197999954223633
1,2.0,9.0,1,away something_different big i like ,scared who you i like see ..,.,.,4.022,1.2455,1638456323.275,3.4160001277923584
1,2.0,9.0,2,away something_different big i like ,scared who you i like see ..,.,.,4.022,-0.1402,1638456326.123,2.8479998111724854
1,2.0,9.0,3,away something_different big i like ,scared who you i like see ..,.,.,4.022,0.5128,1638456328.139,2.0160000324249268
1,2.0,9.0,4,away something_different big i like ,scared who you i like see ..,.,.,4.022,0.0031,1638456347.226,19.087000131607056
1,2.0,9.0,5,away something_different big i like ,scared who you i like see ..,.,.,4.022,0.0917,1638456352.075,4.848999977111816
1,2.0,9.0,6,away something_different big i like ,scared who you i like see ..,.,.,4.022,-0.0089,1638456354.054,1.9789998531341553
2,1.0,1.0,1,bumpy this happy have soft ,,bumpy,Options,5.429,0.0031,1642609843.878,0
2,1.0,1.0,2,bumpy this happy have soft ,,bumpy,Options,5.429,-0.0348,1642609846.865,2.986999988555908
2,1.0,2.0,1,bumpy this happy have soft ,bumpy ,bumpy,63,4.445,-0.0107,1642609884.566,37.70099997520447
2,1.0,2.0,2,bumpy this happy have soft ,bumpy ,bumpy,63,4.445,0.0497,1642609889.33,4.763999938964844
2,1.0,3.0,1,bumpy this happy have soft ,bumpy this ,this,17,4.445,0.0864,1642609897.506,8.176000118255615
2,1.0,3.0,2,bumpy this happy have soft ,bumpy this ,this,17,4.445,0.0487,1642609908.84,11.333999872207642
2,1.0,4.0,1,bumpy this happy have soft ,bumpy this happy ,happy,58,4.445,0.0567,1642609913.646,4.805999994277954
2,1.0,4.0,2,bumpy this happy have soft ,bumpy this happy ,happy,58,4.445,0.019,1642609926.379,12.733000040054321
2,1.0,5.0,1,bumpy this happy have soft ,bumpy this happy have ,have,37,4.445,0.1194,1642609935.057,8.67799997329712
2,1.0,5.0,2,bumpy this happy have soft ,bumpy this happy have ,have,37,4.445,0.0437,1642609936.159,1.1019999980926514
2,1.0,6.0,1,bumpy this happy have soft ,bumpy this happy have soft ,soft,54,4.445,0.0984,1642609941.641,5.482000112533569
2,1.0,6.0,2,bumpy this happy have soft ,bumpy this happy have soft ,soft,54,4.445,0.1244,1642609946.532,4.891000032424927
2,1.0,7.0,1,bumpy this happy have soft ,bumpy this happy have soft .,.,.,4.445,0.0974,1642609959.79,13.257999897003174
2,1.0,7.0,2,bumpy this happy have soft ,bumpy this happy have soft .,.,.,4.445,0.0797,1642609964.655,4.865000009536743
2,1.0,8.0,1,bumpy this happy have soft ,bumpy this happy have soft ..,.,.,4.445,0.0797,1642609967.484,2.8289999961853027
2,1.0,8.0,2,bumpy this happy have soft ,bumpy this happy have soft ..,.,.,4.445,0.048,1642609970.07,2.5859999656677246
2,1.0,8.0,3,bumpy this happy have soft ,bumpy this happy have soft ..,.,.,4.445,0.1521,1642609972.783,2.7130000591278076
2,2.0,1.0,1,big stop mad sad break ,,big,Options,4.445,0.1827,1642609985.95,13.16700005531311
2,2.0,1.0,2,big stop mad sad break ,,big,Options,4.445,0.041,1642609989.98,4.0299999713897705
2,2.0,2.0,1,big stop mad sad break ,,big,Options,4.445,0.1607,1642610008.055,18.075000047683716
2,2.0,2.0,2,big stop mad sad break ,,big,Options,4.445,-0.2308,1642610009.584,1.5290000438690186
2,2.0,2.0,3,big stop mad sad break ,,big,Options,4.445,-0.0007,1642610014.196,4.611999988555908
3,1.0,1.0,1,take i mine mine good ,take ,take,48,4.445,0.0577,1642613742.731,0
3,1.0,1.0,2,take i mine mine good ,take ,take,48,4.445,0.01,1642613745.275,2.5440001487731934
3,1.0,1.0,3,take i mine mine good ,take ,take,48,4.445,0.037,1642613747.886,2.610999822616577
3,1.0,2.0,1,take i mine mine good ,take i ,i,10,4.445,-0.0414,1642613750.377,2.491000175476074
3,1.0,2.0,2,take i mine mine good ,take i ,i,10,4.445,0.1311,1642613751.597,1.2199997901916504
