Session Num,Phrase Num,Selection Num,Click Num,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,2.0,1.0,1,take make sad big all_gone ,take ,take,48,4.445,0.2144,1638907964.498,0
1,2.0,1.0,2,take make sad big all_gone ,take ,take,48,4.445,0.2064,1638907968.85,4.351999998092651
1,2.0,2.0,1,take make sad big all_gone ,take make ,make,41,4.445,0.2711,1638907975.873,7.023000001907349
1,2.0,2.0,2,take make sad big all_gone ,take make ,make,41,4.445,0.2531,1638907978.977,3.1040000915527344
1,2.0,2.0,3,take make sad big all_gone ,take make ,make,41,4.445,0.1897,1638907981.393,2.4159998893737793
1,2.0,3.0,1,take make sad big all_gone ,take make sad ,sad,59,4.445,0.2391,1638907985.521,4.128000020980835
1,2.0,3.0,2,take make sad big all_gone ,take make sad ,sad,59,4.445,0.2064,1638907989.889,4.368000030517578
1,2.0,4.0,1,take make sad big all_gone ,take make sad big ,big,34,4.445,0.1827,1638907994.065,4.176000118255615
1,2.0,4.0,2,take make sad big all_gone ,take make sad big ,big,34,4.445,0.2451,1638907996.529,2.4639999866485596
1,2.0,4.0,3,take make sad big all_gone ,take make sad big ,big,34,4.445,0.1194,1638907998.881,2.3519999980926514
1,2.0,5.0,1,take make sad big all_gone ,take make sad big all_gone ,all_gone,25,4.445,-0.0317,1638908005.649,6.767999887466431
1,2.0,5.0,2,take make sad big all_gone ,take make sad big all_gone ,all_gone,25,4.445,-0.0077,1638908007.553,1.9040000438690186
1,2.0,5.0,3,take make sad big all_gone ,take make sad big all_gone ,all_gone,25,4.445,0.0627,1638908011.745,4.191999912261963
1,2.0,6.0,1,take make sad big all_gone ,take make sad big all_gone .,.,.,4.445,0.1361,1638908014.258,2.513000011444092
1,2.0,6.0,2,take make sad big all_gone ,take make sad big all_gone .,.,.,4.445,0.0954,1638908017.217,2.9590001106262207
1,2.0,6.0,3,take make sad big all_gone ,take make sad big all_gone .,.,.,4.445,0.0797,1638908019.521,2.303999900817871
1,2.0,7.0,1,take make sad big all_gone ,take make sad big all_gone ..,.,.,4.445,0.2144,1638908022.097,2.5759999752044678
1,2.0,7.0,2,take make sad big all_gone ,take make sad big all_gone ..,.,.,4.445,0.1281,1638908026.369,4.272000074386597
1,2.0,7.0,3,take make sad big all_gone ,take make sad big all_gone ..,.,.,4.445,0.2304,1638908028.833,2.4639999866485596
2,1.0,1.0,1,stop sick soft soft help ,drink ,stop,29,4.445,-0.0594,1640877028.536,0
2,1.0,1.0,2,stop sick soft soft help ,drink ,stop,29,4.445,0.0914,1640877032.128,3.5920000076293945
2,1.0,2.0,1,stop sick soft soft help ,drink sick ,sick,66,4.445,-0.4136,1640877038.979,6.851000070571899
2,1.0,2.0,2,stop sick soft soft help ,drink sick ,sick,66,4.445,0.1501,1640877043.107,4.128000020980835
2,1.0,2.0,3,stop sick soft soft help ,drink sick ,sick,66,4.445,0.007,1640877044.683,1.5759999752044678
2,1.0,2.0,4,stop sick soft soft help ,drink sick ,sick,66,4.445,-0.2825,1640877048.551,3.868000030517578
2,1.0,3.0,1,stop sick soft soft help ,drink sick soft ,soft,54,4.445,-0.2301,1640877053.003,4.45199990272522
2,1.0,3.0,2,stop sick soft soft help ,drink sick soft ,soft,54,4.445,-0.0811,1640877058.034,5.0309998989105225
