Session Num,Phrase Num,Selection Num,Click Num,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,1.0,1.0,1,again don8t eat play less ,again ,again,15,3.639,0.245,1637167094.698,0
1,1.0,1.0,2,again don8t eat play less ,again ,again,15,3.639,0.3319,1637167103.464,8.766000032424927
1,1.0,1.0,3,again don8t eat play less ,again ,again,15,3.639,0.3719,1637167109.264,5.799999952316284
1,1.0,2.0,1,again don8t eat play less ,again don8t ,don8t,21,3.639,0.3939,1637167112.886,3.621999979019165
1,1.0,2.0,2,again don8t eat play less ,again don8t ,don8t,21,3.639,-0.3309,1637167118.282,5.396000146865845
1,1.0,2.0,3,again don8t eat play less ,again don8t ,don8t,21,3.639,0.15,1637167122.602,4.319999933242798
1,1.0,3.0,1,again don8t eat play less ,again don8t eat ,eat,30,3.639,0.19,1637167126.802,4.200000047683716
1,1.0,3.0,2,again don8t eat play less ,again don8t eat ,eat,30,3.639,0.4309,1637167131.403,4.601000070571899
1,1.0,3.0,3,again don8t eat play less ,again don8t eat ,eat,30,3.639,0.2859,1637167133.497,2.0939998626708984
1,1.0,4.0,1,again don8t eat play less ,again don8t eat play ,play,64,3.639,0.254,1637167139.946,6.449000120162964
1,1.0,4.0,2,again don8t eat play less ,again don8t eat play ,play,64,3.639,0.4199,1637167142.431,2.484999895095825
1,1.0,4.0,3,again don8t eat play less ,again don8t eat play ,play,64,3.639,0.245,1637167146.815,4.384000062942505
1,1.0,4.0,4,again don8t eat play less ,again don8t eat play ,play,64,3.639,0.2709,1637167148.882,2.066999912261963
1,1.0,5.0,1,again don8t eat play less ,again don8t eat play less ,less,44,3.639,0.248,1637167154.18,5.29800009727478
1,1.0,5.0,2,again don8t eat play less ,again don8t eat play less ,less,44,3.639,0.5579,1637167155.249,1.069000005722046
1,1.0,5.0,3,again don8t eat play less ,again don8t eat play less ,less,44,3.639,0.5099,1637167156.282,1.0329999923706055
1,1.0,5.0,4,again don8t eat play less ,again don8t eat play less ,less,44,3.639,-0.2409,1637167157.849,1.566999912261963
1,1.0,6.0,1,again don8t eat play less ,again don8t eat play less .,.,.,3.639,0.163,1637167167.334,9.485000133514404
1,1.0,6.0,2,again don8t eat play less ,again don8t eat play less .,.,.,3.639,0.4199,1637167171.912,4.577999830245972
1,1.0,6.0,3,again don8t eat play less ,again don8t eat play less .,.,.,3.639,0.071,1637167175.003,3.0910000801086426
1,1.0,6.0,4,again don8t eat play less ,again don8t eat play less .,.,.,3.639,0.2829,1637167177.094,2.0910000801086426
1,1.0,7.0,1,again don8t eat play less ,again don8t eat play less .eat ,.,30,3.639,0.3769,1637167181.548,4.453999996185303
1,1.0,7.0,2,again don8t eat play less ,again don8t eat play less .eat ,.,30,3.639,-0.173,1637167189.799,8.250999927520752
1,1.0,7.0,3,again don8t eat play less ,again don8t eat play less .eat ,.,30,3.639,0.094,1637167194.066,4.266999959945679
1,1.0,8.0,1,again don8t eat play less ,again don8t eat play less .eat .,.,.,3.639,-0.078,1637167210.534,16.467999935150146
1,1.0,8.0,2,again don8t eat play less ,again don8t eat play less .eat .,.,.,3.639,-0.8458,1637167212.886,2.3519999980926514
1,1.0,8.0,3,again don8t eat play less ,again don8t eat play less .eat .,.,.,3.639,0.7118,1637167216.963,4.077000141143799
1,1.0,8.0,4,again don8t eat play less ,again don8t eat play less .eat .,.,.,3.639,-0.3989,1637167219.772,2.809000015258789
1,1.0,8.0,5,again don8t eat play less ,again don8t eat play less .eat .,.,.,3.639,0.5129,1637167220.164,0.3919999599456787
1,1.0,8.0,6,again don8t eat play less ,again don8t eat play less .eat .,.,.,3.639,0.199,1637167220.89,0.7260000705718994
1,1.0,9.0,1,again don8t eat play less ,again don8t eat play less .eat .less ,.,44,3.639,0.5549,1637167222.847,1.9569997787475586
1,1.0,9.0,2,again don8t eat play less ,again don8t eat play less .eat .less ,.,44,3.639,0.249,1637167235.661,12.814000129699707
1,1.0,9.0,3,again don8t eat play less ,again don8t eat play less .eat .less ,.,44,3.639,-0.3049,1637167235.866,0.2049999237060547
1,1.0,9.0,4,again don8t eat play less ,again don8t eat play less .eat .less ,.,44,3.639,0.209,1637167239.1,3.2339999675750732
1,1.0,10.0,1,again don8t eat play less ,again don8t eat play less .eat .less now ,.,16,3.639,-0.9638,1637167240.928,1.8280000686645508
1,1.0,10.0,2,again don8t eat play less ,again don8t eat play less .eat .less now ,.,16,3.639,-0.207,1637167242.284,1.3559999465942383
1,1.0,10.0,3,again don8t eat play less ,again don8t eat play less .eat .less now ,.,16,3.639,0.6539,1637167245.186,2.9020001888275146
1,1.0,10.0,4,again don8t eat play less ,again don8t eat play less .eat .less now ,.,16,3.639,-0.134,1637167247.117,1.930999994277954
1,1.0,10.0,5,again don8t eat play less ,again don8t eat play less .eat .less now ,.,16,3.639,0.218,1637167252.149,5.031999826431274
1,1.0,10.0,6,again don8t eat play less ,again don8t eat play less .eat .less now ,.,16,3.639,-0.8228,1637167254.349,2.200000047683716
1,1.0,10.0,7,again don8t eat play less ,again don8t eat play less .eat .less now ,.,16,3.639,-0.2599,1637167257.111,2.76200008392334
1,1.0,10.0,8,again don8t eat play less ,again don8t eat play less .eat .less now ,.,16,3.639,-0.3119,1637167259.82,2.7089998722076416
1,1.0,10.0,9,again don8t eat play less ,again don8t eat play less .eat .less now ,.,16,3.639,-0.4629,1637167261.149,1.3289999961853027
1,1.0,11.0,1,again don8t eat play less ,again don8t eat play less .eat .less now want ,.,31,3.639,0.7698,1637167261.981,0.8320000171661377
1,1.0,11.0,2,again don8t eat play less ,again don8t eat play less .eat .less now want ,.,31,3.639,0.6559,1637167268.188,6.207000017166138
1,1.0,11.0,3,again don8t eat play less ,again don8t eat play less .eat .less now want ,.,31,3.639,-0.8588,1637167268.792,0.6040000915527344
1,1.0,11.0,4,again don8t eat play less ,again don8t eat play less .eat .less now want ,.,31,3.639,0.6559,1637167280.347,11.554999828338623
1,1.0,11.0,5,again don8t eat play less ,again don8t eat play less .eat .less now want ,.,31,3.639,-0.118,1637167290.533,10.186000108718872
1,1.0,11.0,6,again don8t eat play less ,again don8t eat play less .eat .less now want ,.,31,3.639,0.001,1637167292.332,1.7990000247955322
1,1.0,12.0,1,again don8t eat play less ,again don8t eat play less .eat .less now want .,.,.,3.639,0.151,1637167294.522,2.190000057220459
1,1.0,12.0,2,again don8t eat play less ,again don8t eat play less .eat .less now want .,.,.,3.639,0.198,1637167298.249,3.7269999980926514
1,1.0,12.0,3,again don8t eat play less ,again don8t eat play less .eat .less now want .,.,.,3.639,0.198,1637167300.249,2.0
1,1.0,12.0,4,again don8t eat play less ,again don8t eat play less .eat .less now want .,.,.,3.639,0.2679,1637167302.32,2.07099986076355
1,1.0,12.0,5,again don8t eat play less ,again don8t eat play less .eat .less now want .,.,.,3.639,0.015,1637167304.146,1.8259999752044678
1,1.0,13.0,1,again don8t eat play less ,again don8t eat play less .eat .less now want ..,.,.,3.639,-0.103,1637167306.029,1.883000135421753
1,1.0,13.0,2,again don8t eat play less ,again don8t eat play less .eat .less now want ..,.,.,3.639,0.259,1637167307.431,1.4019999504089355
1,1.0,13.0,3,again don8t eat play less ,again don8t eat play less .eat .less now want ..,.,.,3.639,0.05,1637167309.262,1.8310000896453857
1,1.0,13.0,4,again don8t eat play less ,again don8t eat play less .eat .less now want ..,.,.,3.639,0.116,1637167311.167,1.9049999713897705
1,1.0,13.0,5,again don8t eat play less ,again don8t eat play less .eat .less now want ..,.,.,3.639,0.096,1637167313.068,1.9010000228881836
1,1.0,13.0,6,again don8t eat play less ,again don8t eat play less .eat .less now want ..,.,.,3.639,-0.2509,1637167314.601,1.5329999923706055
1,2.0,1.0,1,break sad you turn again ,break ,break,56,3.639,-0.123,1637167321.329,6.727999925613403
1,2.0,1.0,2,break sad you turn again ,break ,break,56,3.639,-0.124,1637167324.088,2.759000062942505
1,2.0,1.0,3,break sad you turn again ,break ,break,56,3.639,-1.3667,1637167327.524,3.435999870300293
1,2.0,1.0,4,break sad you turn again ,break ,break,56,3.639,0.203,1637167331.415,3.8910000324249268
1,2.0,1.0,5,break sad you turn again ,break ,break,56,3.639,-0.205,1637167333.767,2.3519999980926514
1,2.0,1.0,6,break sad you turn again ,break ,break,56,3.639,0.2809,1637167338.533,4.766000032424927
1,2.0,1.0,7,break sad you turn again ,break ,break,56,3.639,0.2989,1637167341.23,2.697000026702881
1,2.0,1.0,8,break sad you turn again ,break ,break,56,3.639,0.189,1637167349.201,7.9709999561309814
1,2.0,1.0,9,break sad you turn again ,break ,break,56,3.639,0.164,1637167352.416,3.2149999141693115
1,2.0,2.0,1,break sad you turn again ,break sad ,sad,59,3.639,0.237,1637167359.249,6.833000183105469
1,2.0,2.0,2,break sad you turn again ,break sad ,sad,59,3.639,0.012,1637167361.664,2.4149999618530273
1,2.0,2.0,3,break sad you turn again ,break sad ,sad,59,3.639,0.056,1637167367.147,5.483000040054321
1,2.0,2.0,4,break sad you turn again ,break sad ,sad,59,3.639,0.2,1637167369.131,1.9839999675750732
1,2.0,2.0,5,break sad you turn again ,break sad ,sad,59,3.639,-0.117,1637167374.455,5.323999881744385
1,2.0,3.0,1,break sad you turn again ,break sad have ,you,37,3.639,0.225,1637167377.196,2.741000175476074
1,2.0,3.0,2,break sad you turn again ,break sad have ,you,37,3.639,0.114,1637167382.765,5.569000005722046
1,2.0,3.0,3,break sad you turn again ,break sad have ,you,37,3.639,0.148,1637167384.719,1.9539999961853027
1,2.0,3.0,4,break sad you turn again ,break sad have ,you,37,3.639,0.3509,1637167386.883,2.1639997959136963
1,2.0,3.0,5,break sad you turn again ,break sad have ,you,37,3.639,0.4759,1637167389.167,2.2840001583099365
1,2.0,3.0,6,break sad you turn again ,break sad have ,you,37,3.639,0.193,1637167391.164,1.996999979019165
1,2.0,4.0,1,break sad you turn again ,break sad have turn ,turn,49,3.639,0.11,1637167395.522,4.358000040054321
1,2.0,4.0,2,break sad you turn again ,break sad have turn ,turn,49,3.639,0.227,1637167399.919,4.396999835968018
1,2.0,4.0,3,break sad you turn again ,break sad have turn ,turn,49,3.639,0.015,1637167401.747,1.8280000686645508
1,2.0,4.0,4,break sad you turn again ,break sad have turn ,turn,49,3.639,0.3529,1637167403.884,2.13700008392334
1,2.0,5.0,1,break sad you turn again ,break sad have turn again ,again,15,3.639,-0.021,1637167407.431,3.546999931335449
1,2.0,5.0,2,break sad you turn again ,break sad have turn again ,again,15,3.639,0.101,1637167411.033,3.6019999980926514
1,2.0,5.0,3,break sad you turn again ,break sad have turn again ,again,15,3.639,-0.011,1637167412.801,1.7680001258850098
1,2.0,5.0,4,break sad you turn again ,break sad have turn again ,again,15,3.639,-0.3129,1637167414.299,1.497999906539917
1,2.0,5.0,5,break sad you turn again ,break sad have turn again ,again,15,3.639,-0.091,1637167416,1.7009999752044678
1,2.0,6.0,1,break sad you turn again ,break sad have turn again .,.,.,3.639,0.188,1637167421.799,5.799000024795532
1,2.0,6.0,2,break sad you turn again ,break sad have turn again .,.,.,3.639,0.125,1637167423.697,1.8980000019073486
1,2.0,6.0,3,break sad you turn again ,break sad have turn again .,.,.,3.639,0.121,1637167425.614,1.9170000553131104
1,2.0,6.0,4,break sad you turn again ,break sad have turn again .,.,.,3.639,0.138,1637167427.549,1.934999942779541
1,2.0,7.0,1,break sad you turn again ,break sad have turn again ..,.,.,3.639,0.155,1637167433.367,5.818000078201294
1,2.0,7.0,2,break sad you turn again ,break sad have turn again ..,.,.,3.639,0.058,1637167435.23,1.8629999160766602
1,2.0,7.0,3,break sad you turn again ,break sad have turn again ..,.,.,3.639,-0.2449,1637167436.767,1.5369999408721924
1,2.0,7.0,4,break sad you turn again ,break sad have turn again ..,.,.,3.639,-0.053,1637167438.519,1.752000093460083
1,2.0,7.0,5,break sad you turn again ,break sad have turn again ..,.,.,3.639,0.152,1637167440.483,1.9639999866485596
1,3.0,1.0,1,scared this away less on ,sad ,scared,59,3.639,-0.3939,1637167446.698,6.2149999141693115
1,3.0,1.0,2,scared this away less on ,sad ,scared,59,3.639,-0.2219,1637167449.43,2.7320001125335693
1,3.0,1.0,3,scared this away less on ,sad ,scared,59,3.639,0.154,1637167452.766,3.3359999656677246
1,3.0,1.0,4,scared this away less on ,sad ,scared,59,3.639,-0.091,1637167455.721,2.9549999237060547
1,3.0,1.0,5,scared this away less on ,sad ,scared,59,3.639,0.069,1637167457.601,1.880000114440918
1,3.0,2.0,1,scared this away less on ,sad this ,this,17,3.639,0.073,1637167467.085,9.483999967575073
1,3.0,2.0,2,scared this away less on ,sad this ,this,17,3.639,0.122,1637167469.616,2.5309998989105225
1,3.0,2.0,3,scared this away less on ,sad this ,this,17,3.639,0.2739,1637167471.687,2.071000099182129
1,3.0,2.0,4,scared this away less on ,sad this ,this,17,3.639,-0.076,1637167473.416,1.7289998531341553
1,3.0,3.0,1,scared this away less on ,sad this away ,away,43,3.639,-0.086,1637167478.565,5.14900016784668
1,3.0,3.0,2,scared this away less on ,sad this away ,away,43,3.639,-0.16,1637167481.932,3.366999864578247
1,3.0,3.0,3,scared this away less on ,sad this away ,away,43,3.639,0.059,1637167485.031,3.0989999771118164
1,3.0,3.0,4,scared this away less on ,sad this away ,away,43,3.639,0.189,1637167486.999,1.9680001735687256
1,3.0,4.0,1,scared this away less on ,sad this away less ,less,44,3.639,-0.201,1637167491.85,4.85099983215332
1,3.0,4.0,2,scared this away less on ,sad this away less ,less,44,3.639,0.07,1637167494.001,2.1510000228881836
1,3.0,4.0,3,scared this away less on ,sad this away less ,less,44,3.639,-0.3319,1637167496.72,2.7190001010894775
1,3.0,4.0,4,scared this away less on ,sad this away less ,less,44,3.639,0.2769,1637167502.447,5.726999998092651
1,3.0,4.0,5,scared this away less on ,sad this away less ,less,44,3.639,0.096,1637167504.347,1.8999998569488525
1,3.0,5.0,1,scared this away less on ,sad this away less on ,on,61,3.639,0.1,1637167507.231,2.884000062942505
1,3.0,5.0,2,scared this away less on ,sad this away less on ,on,61,3.639,0.4839,1637167508.215,0.9839999675750732
1,3.0,5.0,3,scared this away less on ,sad this away less on ,on,61,3.639,0.052,1637167510.664,2.449000120162964
1,3.0,5.0,4,scared this away less on ,sad this away less on ,on,61,3.639,-0.188,1637167512.263,1.5989999771118164
1,3.0,5.0,5,scared this away less on ,sad this away less on ,on,61,3.639,0.3519,1637167514.404,2.1410000324249268
1,3.0,6.0,1,scared this away less on ,sad this away less on give ,.,32,3.639,0.3389,1637167525.43,11.026000022888184
1,3.0,6.0,2,scared this away less on ,sad this away less on give ,.,32,3.639,0.139,1637167527.63,2.200000047683716
1,3.0,6.0,3,scared this away less on ,sad this away less on give ,.,32,3.639,0.236,1637167529.647,2.0169999599456787
1,3.0,6.0,4,scared this away less on ,sad this away less on give ,.,32,3.639,-0.3299,1637167531.121,1.4739999771118164
1,3.0,6.0,5,scared this away less on ,sad this away less on give ,.,32,3.639,-0.3849,1637167532.546,1.4249999523162842
1,3.0,7.0,1,scared this away less on ,sad this away less on give .,.,.,3.639,0.175,1637167534.746,2.200000047683716
1,3.0,7.0,2,scared this away less on ,sad this away less on give .,.,.,3.639,0.9288,1637167536.18,1.434000015258789
1,3.0,7.0,3,scared this away less on ,sad this away less on give .,.,.,3.639,-0.2729,1637167536.579,0.3989999294281006
1,3.0,7.0,4,scared this away less on ,sad this away less on give .,.,.,3.639,0.074,1637167539.365,2.7860000133514404
1,3.0,7.0,5,scared this away less on ,sad this away less on give .,.,.,3.639,0.4559,1637167540.347,0.9819998741149902
1,3.0,7.0,6,scared this away less on ,sad this away less on give .,.,.,3.639,0.2849,1637167542.417,2.070000171661377
1,3.0,8.0,1,scared this away less on ,sad this away less on give ..,.,.,3.639,0.039,1637167544.45,2.0329999923706055
