Session Num,Phrase Num,Selection Num,Click Num,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,1.0,1.0,1,you like do where like ,take ,you,48,3.639,0.14,1636820396.994,0
1,1.0,1.0,2,you like do where like ,take ,you,48,3.639,-0.131,1636820399.884,2.890000104904175
1,1.0,1.0,3,you like do where like ,take ,you,48,3.639,-0.2889,1636820401.406,1.5219998359680176
1,1.0,1.0,4,you like do where like ,take ,you,48,3.639,0.5899,1636820425.804,24.39800000190735
1,1.0,2.0,1,you like do where like ,take take ,like,48,3.639,0.4639,1636820427.039,1.2350001335144043
1,1.0,2.0,2,you like do where like ,take take ,like,48,3.639,0.3719,1636820435.546,8.506999969482422
1,1.0,2.0,3,you like do where like ,take take ,like,48,3.639,0.3059,1636820436.363,0.8169999122619629
1,1.0,2.0,4,you like do where like ,take take ,like,48,3.639,0.168,1636820438.345,1.9820001125335693
1,1.0,3.0,1,you like do where like ,take take okay ,do,24,3.639,0.023,1636820440.6,2.254999876022339
1,1.0,3.0,2,you like do where like ,take take okay ,do,24,3.639,-0.119,1636820444.657,4.057000160217285
1,1.0,3.0,3,you like do where like ,take take okay ,do,24,3.639,0.194,1636820446.649,1.991999864578247
1,1.0,3.0,4,you like do where like ,take take okay ,do,24,3.639,-0.2729,1636820448.182,1.5329999923706055
2,1.0,1.0,1,give have see good give ,give ,give,32,3.639,0.167,1637246068.326,0
2,1.0,1.0,2,give have see good give ,give ,give,32,3.639,0.108,1637246073.866,5.539999961853027
2,1.0,1.0,3,give have see good give ,give ,give,32,3.639,0.4749,1637246076.154,2.2880001068115234
2,1.0,1.0,4,give have see good give ,give ,give,32,3.639,0.4859,1637246078.444,2.2899999618530273
2,1.0,1.0,5,give have see good give ,give ,give,32,3.639,0.9268,1637246081.165,2.7209999561309814
2,1.0,1.0,6,give have see good give ,give ,give,32,3.639,0.4459,1637246084.645,3.4800000190734863
2,1.0,2.0,1,give have see good give ,give have ,have,37,3.639,0.4759,1637246105.794,21.1489999294281
2,1.0,2.0,2,give have see good give ,give have ,have,37,3.639,0.3899,1637246107.188,1.3940000534057617
2,1.0,2.0,3,give have see good give ,give have ,have,37,3.639,0.3709,1637246108.73,1.5420000553131104
2,1.0,2.0,4,give have see good give ,give have ,have,37,3.639,0.4189,1637246112.178,3.447999954223633
2,1.0,3.0,1,give have see good give ,give have see ,see,40,3.639,0.3479,1637246118.187,6.009000062942505
2,1.0,3.0,2,give have see good give ,give have see ,see,40,3.639,0.206,1637246119.884,1.6970000267028809
2,1.0,3.0,3,give have see good give ,give have see ,see,40,3.639,0.069,1637246121.748,1.863999843597412
2,1.0,3.0,4,give have see good give ,give have see ,see,40,3.639,0.3389,1637246123.897,2.1490001678466797
2,1.0,3.0,5,give have see good give ,give have see ,see,40,3.639,0.3709,1637246126.049,2.1519999504089355
2,1.0,4.0,1,give have see good give ,give have see good ,good,36,3.639,0.4009,1637246132.759,6.710000038146973
2,1.0,4.0,2,give have see good give ,give have see good ,good,36,3.639,0.3709,1637246134.29,1.5309998989105225
2,1.0,4.0,3,give have see good give ,give have see good ,good,36,3.639,0.4719,1637246136.551,2.261000156402588
2,1.0,4.0,4,give have see good give ,give have see good ,good,36,3.639,0.4099,1637246138.769,2.2179999351501465
2,1.0,5.0,1,give have see good give ,give have see good give ,give,32,3.639,0.4699,1637246142.589,3.819999933242798
2,1.0,5.0,2,give have see good give ,give have see good give ,give,32,3.639,0.3389,1637246144.097,1.5079998970031738
2,1.0,5.0,3,give have see good give ,give have see good give ,give,32,3.639,0.7158,1637246146.594,2.497000217437744
2,1.0,5.0,4,give have see good give ,give have see good give ,give,32,3.639,0.4799,1637246148.878,2.2839999198913574
2,1.0,5.0,5,give have see good give ,give have see good give ,give,32,3.639,0.4919,1637246154.811,5.933000087738037
2,1.0,6.0,1,give have see good give ,give have see good give .,.,.,3.639,0.4389,1637246160.878,6.066999912261963
2,1.0,6.0,2,give have see good give ,give have see good give .,.,.,3.639,0.3769,1637246171.576,10.697999954223633
2,1.0,6.0,3,give have see good give ,give have see good give .,.,.,3.639,0.4329,1637246173.791,2.2149999141693115
2,1.0,6.0,4,give have see good give ,give have see good give .,.,.,3.639,0.3579,1637246175.956,2.1650002002716064
2,1.0,7.0,1,give have see good give ,give have see good give ..,.,.,3.639,0.3809,1637246192.859,16.902999877929688
2,1.0,7.0,2,give have see good give ,give have see good give ..,.,.,3.639,0.4099,1637246196.288,3.42900013923645
2,1.0,7.0,3,give have see good give ,give have see good give ..,.,.,3.639,0.4809,1637246198.559,2.2709999084472656
2,1.0,7.0,4,give have see good give ,give have see good give ..,.,.,3.639,0.4419,1637246200.801,2.242000102996826
2,2.0,1.0,1,where i play help is ,where ,where,14,3.639,0.3649,1637246205.964,5.162999868392944
2,2.0,1.0,2,where i play help is ,where ,where,14,3.639,0.3859,1637246209.385,3.4210000038146973
2,2.0,1.0,3,where i play help is ,where ,where,14,3.639,0.4129,1637246211.612,2.2269999980926514
2,2.0,2.0,1,where i play help is ,where i ,i,10,3.639,0.8238,1637246214.224,2.611999988555908
2,2.0,2.0,2,where i play help is ,where i ,i,10,3.639,0.3139,1637246216.713,2.489000082015991
2,2.0,2.0,3,where i play help is ,where i ,i,10,3.639,0.3059,1637246218.506,1.7929999828338623
2,2.0,2.0,4,where i play help is ,where i ,i,10,3.639,0.7038,1637246219.744,1.2379999160766602
2,2.0,2.0,5,where i play help is ,where i ,i,10,3.639,0.244,1637246221.803,2.059000015258789
2,2.0,3.0,1,where i play help is ,where i play ,play,64,3.639,0.3869,1637246228.345,6.54200005531311
2,2.0,3.0,2,where i play help is ,where i play ,play,64,3.639,0.3499,1637246231.749,3.4040000438690186
2,2.0,3.0,3,where i play help is ,where i play ,play,64,3.639,0.3519,1637246233.911,2.1619999408721924
2,2.0,6.0,1,where i play help is ,where i play help ,help,50,3.639,0.3689,1637246300.37,66.45899987220764
2,2.0,6.0,2,where i play help is ,where i play help ,help,50,3.639,0.4089,1637246302.569,2.199000120162964
2,2.0,6.0,3,where i play help is ,where i play help ,help,50,3.639,0.4579,1637246304.817,2.247999906539917
2,2.0,7.0,1,where i play help is ,where i play help is ,is,22,3.639,0.3939,1637246322.634,17.817000150680542
2,2.0,7.0,2,where i play help is ,where i play help is ,is,22,3.639,0.3789,1637246324.819,2.184999942779541
2,2.0,7.0,3,where i play help is ,where i play help is ,is,22,3.639,0.4489,1637246327.049,2.2300000190734863
2,2.0,8.0,1,where i play help is ,where i play help is .,.,.,3.639,0.4199,1637246351.26,24.210999965667725
2,2.0,8.0,2,where i play help is ,where i play help is .,.,.,3.639,-0.093,1637246368.747,17.486999988555908
2,2.0,8.0,3,where i play help is ,where i play help is .,.,.,3.639,-0.064,1637246371.095,2.3480000495910645
2,2.0,8.0,4,where i play help is ,where i play help is .,.,.,3.639,0.002,1637246375.241,4.145999908447266
2,2.0,8.0,5,where i play help is ,where i play help is .,.,.,3.639,0.135,1637246377.174,1.933000087738037
2,2.0,9.0,1,where i play help is ,where i play help is .less ,.,44,3.639,0.5979,1637246379.157,1.9830000400543213
2,2.0,9.0,2,where i play help is ,where i play help is .less ,.,44,3.639,0.4879,1637246381.728,2.57099986076355
2,2.0,9.0,3,where i play help is ,where i play help is .less ,.,44,3.639,0.3969,1637246383.918,2.190000057220459
2,2.0,12.0,1,where i play help is ,where i play help is .,.,@,3.639,0.4199,1637246426.586,42.66799998283386
2,2.0,12.0,2,where i play help is ,where i play help is .,.,@,3.639,-0.093,1637246430.049,3.4630000591278076
2,2.0,12.0,3,where i play help is ,where i play help is .,.,@,3.639,-0.064,1637246432.269,2.2200000286102295
2,2.0,12.0,4,where i play help is ,where i play help is .,.,@,3.639,0.002,1637246433.444,1.1749999523162842
2,2.0,12.0,5,where i play help is ,where i play help is .,.,@,3.639,0.135,1637246435.459,2.015000104904175
2,2.0,13.0,1,where i play help is ,where i play help is ..,.,.,3.639,0.182,1637246441.223,5.763999938964844
2,2.0,13.0,2,where i play help is ,where i play help is ..,.,.,3.639,0.3959,1637246442.476,1.253000020980835
2,2.0,13.0,3,where i play help is ,where i play help is ..,.,.,3.639,0.3709,1637246444.652,2.175999879837036
2,3.0,1.0,1,here on good bad all_gone ,here ,here,51,3.639,0.139,1637246448.699,4.046999931335449
2,3.0,1.0,2,here on good bad all_gone ,here ,here,51,3.639,0.038,1637246450.799,2.1000001430511475
2,3.0,1.0,3,here on good bad all_gone ,here ,here,51,3.639,0.106,1637246453.947,3.1480000019073486
2,3.0,1.0,4,here on good bad all_gone ,here ,here,51,3.639,0.067,1637246455.827,1.8799998760223389
2,3.0,2.0,1,here on good bad all_gone ,here on ,on,61,3.639,0.143,1637246458.743,2.9160001277923584
2,3.0,2.0,2,here on good bad all_gone ,here on ,on,61,3.639,0.195,1637246462.155,3.4119999408721924
2,3.0,2.0,3,here on good bad all_gone ,here on ,on,61,3.639,0.175,1637246464.736,2.5810000896453857
2,3.0,2.0,4,here on good bad all_gone ,here on ,on,61,3.639,0.23,1637246466.75,2.0139999389648438
2,3.0,3.0,1,here on good bad all_gone ,here on good ,good,36,3.639,0.3469,1637246469.749,2.999000072479248
2,3.0,3.0,2,here on good bad all_gone ,here on good ,good,36,3.639,0.103,1637246472.264,2.5149998664855957
2,3.0,3.0,3,here on good bad all_gone ,here on good ,good,36,3.639,0.122,1637246475.443,3.17900013923645
2,3.0,3.0,4,here on good bad all_gone ,here on good ,good,36,3.639,0.3159,1637246477.557,2.113999843597412
2,3.0,4.0,1,here on good bad all_gone ,here on good bad ,bad,27,3.639,0.201,1637246482.721,5.164000034332275
2,3.0,4.0,2,here on good bad all_gone ,here on good bad ,bad,27,3.639,0.232,1637246485.353,2.631999969482422
2,3.0,4.0,3,here on good bad all_gone ,here on good bad ,bad,27,3.639,0.223,1637246487.384,2.0310001373291016
2,3.0,5.0,1,here on good bad all_gone ,here on good bad all_gone ,all_gone,25,3.639,0.2949,1637246493.255,5.871000051498413
2,3.0,5.0,2,here on good bad all_gone ,here on good bad all_gone ,all_gone,25,3.639,0.225,1637246497.626,4.370999813079834
2,3.0,5.0,3,here on good bad all_gone ,here on good bad all_gone ,all_gone,25,3.639,0.166,1637246499.607,1.9810001850128174
2,3.0,6.0,1,here on good bad all_gone ,here on good bad all_gone .,.,.,3.639,0.3799,1637246501.94,2.3329999446868896
2,3.0,6.0,2,here on good bad all_gone ,here on good bad all_gone .,.,.,3.639,0.18,1637246504.821,2.88100004196167
2,3.0,6.0,3,here on good bad all_gone ,here on good bad all_gone .,.,.,3.639,0.236,1637246506.838,2.0169999599456787
2,3.0,6.0,4,here on good bad all_gone ,here on good bad all_gone .,.,.,3.639,0.159,1637246508.801,1.9630000591278076
2,3.0,7.0,1,here on good bad all_gone ,here on good bad all_gone ..,.,.,3.639,0.113,1637246514.513,5.711999893188477
2,3.0,7.0,2,here on good bad all_gone ,here on good bad all_gone ..,.,.,3.639,0.01,1637246516.61,2.0969998836517334
2,3.0,7.0,3,here on good bad all_gone ,here on good bad all_gone ..,.,.,3.639,0.05,1637246519.692,3.0820000171661377
2,3.0,7.0,4,here on good bad all_gone ,here on good bad all_gone ..,.,.,3.639,0.243,1637246521.724,2.0320000648498535
2,4.0,1.0,1,take excited again more with ,have ,take,37,3.639,0.7778,1637246572.3,50.57599997520447
2,4.0,1.0,2,take excited again more with ,have ,take,37,3.639,0.235,1637246583.477,11.177000045776367
2,4.0,1.0,3,take excited again more with ,have ,take,37,3.639,0.3369,1637246584.338,0.8610000610351562
3,1.0,1.0,1,happy now get now take ,happy ,happy,58,3.639,-0.023,1637748000.505,0
3,1.0,1.0,2,happy now get now take ,happy ,happy,58,3.639,0.029,1637748003.091,2.5859999656677246
3,1.0,1.0,3,happy now get now take ,happy ,happy,58,3.639,0.114,1637748005.602,2.510999917984009
3,1.0,1.0,4,happy now get now take ,happy ,happy,58,3.639,0.065,1637748011.113,5.510999917984009
3,1.0,2.0,1,happy now get now take ,happy now ,now,16,3.639,0.229,1637748014.077,2.9639999866485596
3,1.0,2.0,2,happy now get now take ,happy now ,now,16,3.639,0.017,1637748015.905,1.8280000686645508
3,1.0,2.0,3,happy now get now take ,happy now ,now,16,3.639,0.013,1637748018.941,3.0360000133514404
3,1.0,2.0,4,happy now get now take ,happy now ,now,16,3.639,0.19,1637748020.918,1.9769999980926514
3,1.0,3.0,1,happy now get now take ,happy now get ,get,38,3.639,0.2729,1637748023.522,2.6040000915527344
3,1.0,3.0,2,happy now get now take ,happy now get ,get,38,3.639,0.217,1637748024.905,1.3829998970031738
3,1.0,3.0,3,happy now get now take ,happy now get ,get,38,3.639,0.151,1637748026.84,1.934999942779541
3,1.0,4.0,1,happy now get now take ,happy now get now ,now,16,3.639,0.5809,1637748030.149,3.309000015258789
3,1.0,4.0,2,happy now get now take ,happy now get now ,now,16,3.639,0.031,1637748032.4,2.251000165939331
3,1.0,4.0,3,happy now get now take ,happy now get now ,now,16,3.639,0.072,1637748034.88,2.4800000190734863
3,1.0,4.0,4,happy now get now take ,happy now get now ,now,16,3.639,0.153,1637748036.842,1.9619998931884766
3,1.0,5.0,1,happy now get now take ,happy now get now take ,take,48,3.639,0.124,1637748041.373,4.5309998989105225
3,1.0,5.0,2,happy now get now take ,happy now get now take ,take,48,3.639,0.06,1637748044.468,3.0950000286102295
3,1.0,5.0,3,happy now get now take ,happy now get now take ,take,48,3.639,0.1,1637748046.348,1.880000114440918
3,1.0,6.0,1,happy now get now take ,happy now get now take .,.,.,3.639,0.177,1637748048.466,2.118000030517578
3,1.0,6.0,2,happy now get now take ,happy now get now take .,.,.,3.639,0.168,1637748051.656,3.18999981880188
3,1.0,6.0,3,happy now get now take ,happy now get now take .,.,.,3.639,0.206,1637748053.655,1.999000072479248
3,1.0,7.0,1,happy now get now take ,happy now get now take ..,.,.,3.639,0.3029,1637748055.911,2.25600004196167
3,1.0,7.0,2,happy now get now take ,happy now get now take ..,.,.,3.639,0.3239,1637748058.973,3.062000036239624
3,1.0,7.0,3,happy now get now take ,happy now get now take ..,.,.,3.639,0.216,1637748062.224,3.250999927520752
3,1.0,7.0,4,happy now get now take ,happy now get now take ..,.,.,3.639,0.254,1637748064.263,2.0390000343322754
3,2.0,1.0,1,excited good go don8t play ,excited ,excited,69,3.639,0.164,1637748073.813,9.549999952316284
3,2.0,1.0,2,excited good go don8t play ,excited ,excited,69,3.639,0.237,1637748075.846,2.0329999923706055
3,2.0,1.0,3,excited good go don8t play ,excited ,excited,69,3.639,0.3099,1637748077.959,2.1130001544952393
3,2.0,2.0,1,excited good go don8t play ,excited good ,good,36,3.639,-0.3009,1637748080.308,2.3489999771118164
3,2.0,2.0,2,excited good go don8t play ,excited good ,good,36,3.639,-0.2949,1637748082.314,2.005999803543091
3,2.0,2.0,3,excited good go don8t play ,excited good ,good,36,3.639,0.5029,1637748083.832,1.5180001258850098
3,2.0,2.0,4,excited good go don8t play ,excited good ,good,36,3.639,0.2659,1637748086.835,3.003000020980835
3,2.0,2.0,5,excited good go don8t play ,excited good ,good,36,3.639,0.5309,1637748087.9,1.065000057220459
3,2.0,2.0,6,excited good go don8t play ,excited good ,good,36,3.639,0.13,1637748089.82,1.9199998378753662
3,2.0,3.0,1,excited good go don8t play ,excited good go ,go,33,3.639,0.137,1637748093.065,3.245000123977661
3,2.0,3.0,2,excited good go don8t play ,excited good go ,go,33,3.639,0.4769,1637748094.046,0.9809999465942383
3,2.0,3.0,3,excited good go don8t play ,excited good go ,go,33,3.639,0.172,1637748097.26,3.2139999866485596
3,2.0,4.0,1,excited good go don8t play ,excited good go don8t ,don8t,21,3.639,0.229,1637748100.677,3.4170000553131104
3,2.0,4.0,2,excited good go don8t play ,excited good go don8t ,don8t,21,3.639,0.216,1637748106.386,5.708999872207642
3,2.0,4.0,3,excited good go don8t play ,excited good go don8t ,don8t,21,3.639,0.183,1637748108.351,1.9650001525878906
3,2.0,5.0,1,excited good go don8t play ,excited good go don8t play ,play,64,3.639,0.2979,1637748111.187,2.8359999656677246
