Session Num,Phrase Num,Selection Num,Click Num,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,1.0,1.0,1,work sad have in me ,work ,work,55,3.639,-0.069,1674748219.757,0
1,1.0,1.0,2,work sad have in me ,work ,work,55,3.639,-0.199,1674748244.108,24.3510000705719
1,1.0,1.0,3,work sad have in me ,work ,work,55,3.639,-0.148,1674748250.642,6.533999919891357
1,1.0,1.0,4,work sad have in me ,work ,work,55,3.639,-0.116,1674748255.991,5.348999977111816
1,1.0,2.0,1,work sad have in me ,work sad ,sad,59,3.639,-0.2759,1674748284.191,28.200000047683716
1,1.0,2.0,2,work sad have in me ,work sad ,sad,59,3.639,-0.3049,1674748291.848,7.6570000648498535
1,1.0,2.0,3,work sad have in me ,work sad ,sad,59,3.639,-0.078,1674748295.276,3.427999973297119
1,1.0,2.0,4,work sad have in me ,work sad ,sad,59,3.639,-0.12,1674748301.834,6.558000087738037
1,1.0,3.0,1,work sad have in me ,work sad have ,have,37,3.639,-0.4849,1674748307.585,5.750999927520752
1,1.0,3.0,2,work sad have in me ,work sad have ,have,37,3.639,-0.2299,1674748317.6,10.014999866485596
1,1.0,3.0,3,work sad have in me ,work sad have ,have,37,3.639,0.007,1674748321.48,3.880000114440918
1,1.0,3.0,4,work sad have in me ,work sad have ,have,37,3.639,0.034,1674748325.667,4.187000036239624
1,1.0,4.0,1,work sad have in me ,work sad have in ,in,60,3.639,0.013,1674748332.242,6.575000047683716
1,1.0,4.0,2,work sad have in me ,work sad have in ,in,60,3.639,0.042,1674748336.475,4.232999801635742
1,1.0,4.0,3,work sad have in me ,work sad have in ,in,60,3.639,-0.3909,1674748337.882,1.4070000648498535
1,1.0,4.0,4,work sad have in me ,work sad have in ,in,60,3.639,-0.102,1674748339.608,1.7260000705718994
1,1.0,5.0,1,work sad have in me ,work sad have in me ,me,19,3.639,-0.01,1674748347.817,8.208999872207642
1,1.0,5.0,2,work sad have in me ,work sad have in me ,me,19,3.639,-0.106,1674748349.524,1.7070000171661377
1,1.0,5.0,3,work sad have in me ,work sad have in me ,me,19,3.639,-0.165,1674748351.181,1.6570000648498535
1,1.0,6.0,1,work sad have in me ,work sad have in me .,.,.,3.639,-0.2659,1674748393.804,42.62299990653992
1,1.0,6.0,2,work sad have in me ,work sad have in me .,.,.,3.639,0.038,1674748397.672,3.868000030517578
1,1.0,6.0,3,work sad have in me ,work sad have in me .,.,.,3.639,-0.109,1674748399.358,1.686000108718872
1,1.0,7.0,1,work sad have in me ,work sad have in me ..,.,.,3.639,0.023,1674748405.052,5.694000005722046
1,1.0,7.0,2,work sad have in me ,work sad have in me ..,.,.,3.639,-0.058,1674748408.129,3.0769999027252197
1,1.0,7.0,3,work sad have in me ,work sad have in me ..,.,.,3.639,-0.3389,1674748409.615,1.4860000610351562
1,1.0,7.0,4,work sad have in me ,work sad have in me ..,.,.,3.639,-0.043,1674748411.351,1.7360000610351562
2,1.0,1.0,1,you feel less okay eat ,you ,you,28,3.639,-0.126,1674752113.63,0
2,1.0,1.0,2,you feel less okay eat ,you ,you,28,3.639,-0.049,1674752117.747,4.116999864578247
2,1.0,1.0,3,you feel less okay eat ,you ,you,28,3.639,-0.2269,1674752119.331,1.5840001106262207
2,1.0,2.0,1,you feel less okay eat ,you good ,feel,36,3.639,0.3849,1674752126.023,6.691999912261963
2,1.0,2.0,2,you feel less okay eat ,you good ,feel,36,3.639,-0.3199,1674752126.717,0.6940000057220459
2,1.0,2.0,3,you feel less okay eat ,you good ,feel,36,3.639,-0.4749,1674752127.403,0.6860001087188721
2,1.0,2.0,4,you feel less okay eat ,you good ,feel,36,3.639,0.4709,1674752130.909,3.505999803543091
2,1.0,3.0,1,you feel less okay eat ,you good less ,less,44,3.639,-0.009,1674752139.629,8.72000002861023
2,1.0,3.0,2,you feel less okay eat ,you good less ,less,44,3.639,-0.3729,1674752141.06,1.430999994277954
2,1.0,3.0,3,you feel less okay eat ,you good less ,less,44,3.639,-0.092,1674752142.786,1.7260000705718994
2,1.0,4.0,1,you feel less okay eat ,you good less okay ,okay,24,3.639,-0.2379,1674752148.476,5.690000057220459
2,1.0,4.0,2,you feel less okay eat ,you good less okay ,okay,24,3.639,-0.195,1674752149.123,0.6469998359680176
2,1.0,4.0,3,you feel less okay eat ,you good less okay ,okay,24,3.639,-0.142,1674752152.011,2.888000011444092
