Session Num,Phrase Num,Selection Num,Click Num,Task,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,1.0,1.0,1,picture,break go big where bumpy ,break ,break,56,5.429,-0.1257,1639334087.024,0
1,1.0,1.0,2,picture,break go big where bumpy ,break ,break,56,5.429,0.1767,1639334088.888,1.8640000820159912
1,1.0,1.0,3,picture,break go big where bumpy ,break ,break,56,5.429,0.0818,1639334091.673,2.7850000858306885
1,1.0,2.0,1,picture,break go big where bumpy ,break go ,go,33,5.429,-0.1427,1639334096.928,5.254999876022339
1,1.0,2.0,2,picture,break go big where bumpy ,break go ,go,33,5.429,0.0948,1639334101.606,4.677999973297119
1,1.0,2.0,3,picture,break go big where bumpy ,break go ,go,33,5.429,0.1048,1639334104.416,2.809999942779541
1,1.0,3.0,1,picture,break go big where bumpy ,break go big ,big,34,5.429,0.0729,1639334109.544,5.128000020980835
1,1.0,3.0,2,picture,break go big where bumpy ,break go big ,big,34,5.429,0.2076,1639334112.439,2.8949999809265137
1,1.0,3.0,3,picture,break go big where bumpy ,break go big ,big,34,5.429,0.3024,1639334115.454,3.015000104904175
1,1.0,4.0,1,picture,break go big where bumpy ,break go big where ,where,14,5.429,-0.0059,1639334122.584,7.130000114440918
1,1.0,4.0,2,picture,break go big where bumpy ,break go big where ,where,14,5.429,0.0469,1639334123.677,1.0929999351501465
1,1.0,4.0,3,picture,break go big where bumpy ,break go big where ,where,14,5.429,0.1907,1639334126.582,2.9049999713897705
1,1.0,5.0,1,picture,break go big where bumpy ,break go big where bumpy ,bumpy,63,5.429,0.1128,1639334131.024,4.441999912261963
1,1.0,5.0,2,picture,break go big where bumpy ,break go big where bumpy ,bumpy,63,5.429,0.3054,1639334134.017,2.993000030517578
1,1.0,5.0,3,picture,break go big where bumpy ,break go big where bumpy ,bumpy,63,5.429,0.039,1639334136.75,2.7330000400543213
1,1.0,6.0,1,picture,break go big where bumpy ,break go big where bumpy .,.,.,5.429,0.2645,1639334150.975,14.224999904632568
1,1.0,6.0,2,picture,break go big where bumpy ,break go big where bumpy .,.,.,5.429,0.1997,1639334155.111,4.136000156402588
1,1.0,7.0,1,picture,break go big where bumpy ,break go big where bumpy ..,.,.,5.429,0.2066,1639334158.358,3.246999979019165
1,1.0,7.0,2,picture,break go big where bumpy ,break go big where bumpy ..,.,.,5.429,0.0001,1639334159.431,1.0729999542236328
1,1.0,7.0,3,picture,break go big where bumpy ,break go big where bumpy ..,.,.,5.429,0.0709,1639334162.182,2.750999927520752
1,2.0,1.0,1,picture,with now what scared break ,with ,with,70,5.429,0.0429,1639334170.874,8.692000150680542
1,2.0,1.0,2,picture,with now what scared break ,with ,with,70,5.429,-0.0219,1639334171.928,1.053999900817871
1,2.0,1.0,3,picture,with now what scared break ,with ,with,70,5.429,-0.1038,1639334174.528,2.6000001430511475
1,2.0,2.0,1,picture,with now what scared break ,with now ,now,16,5.429,0.1917,1639334179.303,4.7749998569488525
1,2.0,2.0,2,picture,with now what scared break ,with now ,now,16,5.429,0.1657,1639334184.677,5.374000072479248
1,2.0,3.0,1,picture,with now what scared break ,with now what ,what,13,5.429,0.1138,1639334188.744,4.066999912261963
1,2.0,3.0,2,picture,with now what scared break ,with now what ,what,13,5.429,0.1128,1639334191.544,2.799999952316284
1,2.0,4.0,1,picture,with now what scared break ,with now what see ,scared,40,5.429,0.3803,1639334200.491,8.94700002670288
1,2.0,4.0,2,picture,with now what scared break ,with now what see ,scared,40,5.429,1.3503,1639334200.983,0.49200010299682617
1,2.0,4.0,3,picture,with now what scared break ,with now what see ,scared,40,5.429,-0.2554,1639334211.055,10.07200002670288
1,2.0,4.0,4,picture,with now what scared break ,with now what see ,scared,40,5.429,0.2505,1639334213.001,1.9459998607635498
1,2.0,4.0,5,picture,with now what scared break ,with now what see ,scared,40,5.429,-0.5997,1639334213.47,0.46900010108947754
1,2.0,4.0,6,picture,with now what scared break ,with now what see ,scared,40,5.429,1.3903,1639334214.624,1.1540000438690186
1,2.0,5.0,1,picture,with now what scared break ,with now what see break ,break,56,5.429,0.0908,1639334220.161,5.536999940872192
1,2.0,5.0,2,picture,with now what scared break ,with now what see break ,break,56,5.429,0.1288,1639334223,2.8389999866485596
1,2.0,6.0,1,picture,with now what scared break ,with now what see break .,.,.,5.429,0.1298,1639334226.201,3.2009999752044678
1,2.0,6.0,2,picture,with now what scared break ,with now what see break .,.,.,5.429,0.3274,1639334229.239,3.0380001068115234
1,2.0,6.0,3,picture,with now what scared break ,with now what see break .,.,.,5.429,-0.1008,1639334231.849,2.609999895095825
1,2.0,6.0,4,picture,with now what scared break ,with now what see break .,.,.,5.429,0.2226,1639334234.774,2.924999952316284
1,2.0,7.0,1,picture,with now what scared break ,with now what see break ..,.,.,5.429,0.3833,1639334238.214,3.440000057220459
1,2.0,7.0,2,picture,with now what scared break ,with now what see break ..,.,.,5.429,0.2336,1639334243.024,4.809999942779541
1,2.0,7.0,3,picture,with now what scared break ,with now what see break ..,.,.,5.429,0.1288,1639334245.84,2.815999984741211
1,3.0,1.0,1,picture,bad work do excited who ,bad ,bad,27,5.429,0.2146,1639334247.926,2.0860002040863037
1,3.0,1.0,2,picture,bad work do excited who ,bad ,bad,27,5.429,-0.0568,1639334253.094,5.167999982833862
1,3.0,1.0,3,picture,bad work do excited who ,bad ,bad,27,5.429,-0.2874,1639334255.503,2.4089999198913574
1,3.0,1.0,4,picture,bad work do excited who ,bad ,bad,27,5.429,0.1657,1639334258.357,2.8540000915527344
1,3.0,2.0,1,picture,bad work do excited who ,bad work ,work,55,5.429,-0.0408,1639334263.95,5.5929999351501465
1,3.0,2.0,2,picture,bad work do excited who ,bad work ,work,55,5.429,0.504,1639334266.135,2.184999942779541
1,3.0,2.0,3,picture,bad work do excited who ,bad work ,work,55,5.429,0.1797,1639334271.53,5.394999980926514
1,3.0,2.0,4,picture,bad work do excited who ,bad work ,work,55,5.429,-0.0239,1639334274.207,2.677000045776367
1,3.0,3.0,1,picture,bad work do excited who ,bad work do ,do,23,5.429,0.3434,1639334278.814,4.60699987411499
1,3.0,3.0,2,picture,bad work do excited who ,bad work do ,do,23,5.429,0.1757,1639334279.407,0.5930001735687256
1,3.0,3.0,3,picture,bad work do excited who ,bad work do ,do,23,5.429,-0.2295,1639334281.881,2.4739999771118164
1,3.0,3.0,4,picture,bad work do excited who ,bad work do ,do,23,5.429,0.0629,1639334284.654,2.7730000019073486
1,3.0,4.0,1,picture,bad work do excited who ,bad work do excited ,excited,69,5.429,-0.1108,1639334293.359,8.704999923706055
1,3.0,4.0,2,picture,bad work do excited who ,bad work do excited ,excited,69,5.429,-0.1197,1639334297.83,4.4709999561309814
1,3.0,4.0,3,picture,bad work do excited who ,bad work do excited ,excited,69,5.429,0.1068,1639334300.617,2.7870001792907715
1,3.0,5.0,1,picture,bad work do excited who ,bad work do excited hard ,who,53,5.429,0.7186,1639334307.27,6.6529998779296875
1,3.0,5.0,2,picture,bad work do excited who ,bad work do excited hard ,who,53,5.429,-0.0239,1639334307.806,0.5360000133514404
1,3.0,5.0,3,picture,bad work do excited who ,bad work do excited hard ,who,53,5.429,-0.1596,1639334313.51,5.703999996185303
1,3.0,5.0,4,picture,bad work do excited who ,bad work do excited hard ,who,53,5.429,1.5519,1639334314.825,1.315000057220459
1,3.0,5.0,5,picture,bad work do excited who ,bad work do excited hard ,who,53,5.429,1.3094,1639334318.822,3.996999979019165
1,3.0,6.0,1,picture,bad work do excited who ,bad work do excited hard .,.,.,5.429,0.2505,1639334322.121,3.2990000247955322
1,3.0,6.0,2,picture,bad work do excited who ,bad work do excited hard .,.,.,5.429,-0.6775,1639334322.511,0.3899998664855957
1,3.0,6.0,3,picture,bad work do excited who ,bad work do excited hard .,.,.,5.429,-0.3353,1639334326.095,3.5840001106262207
1,3.0,6.0,4,picture,bad work do excited who ,bad work do excited hard .,.,.,5.429,0.1518,1639334331.462,5.366999864578247
1,3.0,7.0,1,picture,bad work do excited who ,bad work do excited hard ..,.,.,5.429,0.8942,1639334335.406,3.944000005722046
1,3.0,7.0,2,picture,bad work do excited who ,bad work do excited hard ..,.,.,5.429,-0.3203,1639334340.15,4.744000196456909
1,3.0,7.0,3,picture,bad work do excited who ,bad work do excited hard ..,.,.,5.429,-0.0249,1639334342.166,2.0159997940063477
1,3.0,7.0,4,picture,bad work do excited who ,bad work do excited hard ..,.,.,5.429,0.2465,1639334343.477,1.311000108718872
1,3.0,7.0,5,picture,bad work do excited who ,bad work do excited hard ..,.,.,5.429,-0.1896,1639334346,2.5230000019073486
1,4.0,1.0,1,picture,mine read here work turn ,mine ,mine,20,5.429,0.0659,1639334352.256,6.25600004196167
1,4.0,1.0,2,picture,mine read here work turn ,mine ,mine,20,5.429,0.024,1639334353.335,1.0789999961853027
1,4.0,1.0,3,picture,mine read here work turn ,mine ,mine,20,5.429,0.1827,1639334356.215,2.879999876022339
1,4.0,2.0,1,picture,mine read here work turn ,mine on ,read,61,5.429,-0.5908,1639334365.719,9.504000186920166
