Session Num,Phrase Num,Selection Num,Click Num,Task,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,1,1,1,text,another little dog named bourre,a,,a,2.207,0.0564,1651586643,0
1,1,1,2,text,another little dog named bourre,a,,a,2.207,0.0744,1651586646,3.196000099
1,1,1,3,text,another little dog named bourre,a,,a,2.207,0.1078,1651586647,1.394999981
1,1,2,1,text,another little dog named bourre,an,,n,2.207,0.0564,1651586654,6.691999912
1,1,2,2,text,another little dog named bourre,an,,n,2.207,0.0894,1651586655,1.370000124
1,1,2,3,text,another little dog named bourre,an,,n,2.207,0.0898,1651586659,3.968999863
1,1,2,4,text,another little dog named bourre,an,,n,2.207,0.0684,1651586661,1.369000196
1,1,3,1,text,another little dog named bourre,another_,,another_,2.207,0.1168,1651586671,10.88199997
1,1,3,2,text,another little dog named bourre,another_,,another_,2.207,0.0814,1651586673,1.333999872
1,1,3,3,text,another little dog named bourre,another_,,another_,2.207,0.1382,1651586674,1.403000116
1,1,4,1,text,another little dog named bourre,another l,,l,2.207,0.0898,1651586684,9.427999973
1,1,4,2,text,another little dog named bourre,another l,,l,2.207,0.0664,1651586685,0.986000061
1,1,4,3,text,another little dog named bourre,another l,,l,2.207,0.1342,1651586691,6.5
1,1,4,4,text,another little dog named bourre,another l,,l,2.207,0.1008,1651586692,1.403999805
1,1,5,1,text,another little dog named bourre,another little_,,little_,2.207,0.0434,1651586697,4.771000147
1,1,5,2,text,another little dog named bourre,another little_,,little_,2.207,0.0494,1651586699,1.350999832
1,1,5,3,text,another little dog named bourre,another little_,,little_,2.207,0.1238,1651586700,1.430000067
1,1,6,1,text,another little dog named bourre,another little d,,d,2.207,0.1058,1651586705,5.236999989
1,1,6,2,text,another little dog named bourre,another little d,,d,2.207,0.0774,1651586706,0.615999937
1,1,6,3,text,another little dog named bourre,another little d,,d,2.207,0.0056,1651586707,1.259000063
1,1,7,1,text,another little dog named bourre,another little do,,o,2.207,0.1118,1651586714,7.078999996
1,1,7,2,text,another little dog named bourre,another little do,,o,2.207,0.0764,1651586716,1.355000019
1,1,7,3,text,another little dog named bourre,another little do,,o,2.207,0.0434,1651586717,1.321000099
1,1,8,1,text,another little dog named bourre,another little dog_,,dog_,2.207,0.0938,1651586721,4.299999952
1,1,8,2,text,another little dog named bourre,another little dog_,,dog_,2.207,0.044,1651586724,2.417999983
1,1,8,3,text,another little dog named bourre,another little dog_,,dog_,2.207,0.1008,1651586725,1.364000082
1,1,9,1,text,another little dog named bourre,another little dog n,,n,2.207,0.0848,1651586731,5.912999868
1,1,9,2,text,another little dog named bourre,another little dog n,,n,2.207,0.1128,1651586732,1.039999962
