Session Num,Phrase Num,Selection Num,Click Num,Task,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,1,1,1,text,tyson gay's beard gives me life,t,,t,4.022,0.2032,1631120379,0
1,1,1,2,text,tyson gay's beard gives me life,t,,t,4.022,0.0369,1631120382,2.055999994
1,1,1,3,text,tyson gay's beard gives me life,t,,t,4.022,0.1106,1631120384,2.133999825
1,1,2,1,text,tyson gay's beard gives me life,ty,,y,4.022,0.1992,1631120387,3.743000031
1,1,2,2,text,tyson gay's beard gives me life,ty,,y,4.022,0.3297,1631120388,1.062000036
1,1,3,1,text,tyson gay's beard gives me life,tysons_,,tysons_,4.022,0.2042,1631120394,6.005000114
1,1,3,2,text,tyson gay's beard gives me life,tysons_,,tysons_,4.022,0.229,1631120397,2.245999813
1,1,4,1,text,tyson gay's beard gives me life,tysons,,#,4.022,0.4849,1631120399,2.632000208
1,1,4,2,text,tyson gay's beard gives me life,tysons,,#,4.022,0.1912,1631120402,2.490999937
1,1,4,3,text,tyson gay's beard gives me life,tysons,,#,4.022,0.2072,1631120406,3.753999949
1,1,4,4,text,tyson gay's beard gives me life,tysons,,#,4.022,0.0419,1631120408,2.062999964
1,1,5,1,text,tyson gay's beard gives me life,tyson,,#,4.022,0.1474,1631120412,4.311000109
1,1,5,2,text,tyson gay's beard gives me life,tyson,,#,4.022,0.2172,1631120414,2.250999928
1,1,5,3,text,tyson gay's beard gives me life,tyson,,#,4.022,0.244,1631120416,2.252000093
1,1,6,1,text,tyson gay's beard gives me life,tysong,,g,4.022,0.1674,1631120429,12.875
1,1,6,2,text,tyson gay's beard gives me life,tysong,,g,4.022,0.1056,1631120431,2.126999855
1,1,7,1,text,tyson gay's beard gives me life,tyson,,#,4.022,0.2052,1631120436,5.002000093
1,1,7,2,text,tyson gay's beard gives me life,tyson,,#,4.022,0.1624,1631120439,2.180000067
1,1,8,1,text,tyson gay's beard gives me life,tyson_,,Space,4.022,0.1366,1631120444,5.245999813
1,1,8,2,text,tyson gay's beard gives me life,tyson_,,Space,4.022,0.0549,1631120446,2.065000057
1,1,9,1,text,tyson gay's beard gives me life,tyson g,,g,4.022,0.1714,1631120453,7.508000135
1,1,9,2,text,tyson gay's beard gives me life,tyson g,,g,4.022,0.24,1631120457,3.744999886
1,1,10,1,text,tyson gay's beard gives me life,tyson ga,,a,4.022,0.3565,1631120462,4.813999891
1,1,10,2,text,tyson gay's beard gives me life,tyson ga,,a,4.022,0.2172,1631120466,3.746000051
1,1,11,1,text,tyson gay's beard gives me life,tyson gay,,y,4.022,0.1434,1631120474,8.565999985
1,1,11,2,text,tyson gay's beard gives me life,tyson gay,,y,4.022,0.1406,1631120477,2.18200016
1,1,12,1,text,tyson gay's beard gives me life,tyson gay',,',4.022,0.1316,1631120482,5.944000006
1,1,12,2,text,tyson gay's beard gives me life,tyson gay',,',4.022,0.1872,1631120484,1.556999922
1,1,13,1,text,tyson gay's beard gives me life,tyson gay's,,s,4.022,0.3963,1631120491,6.632999897
1,1,13,2,text,tyson gay's beard gives me life,tyson gay's,,s,4.022,0.2152,1631120493,2.248000145
1,1,14,1,text,tyson gay's beard gives me life,tyson gay's_,,Space,4.022,0.0559,1631120495,2.368999958
1,1,14,2,text,tyson gay's beard gives me life,tyson gay's_,,Space,4.022,0.2102,1631120502,6.31099987
1,1,15,1,text,tyson gay's beard gives me life,tyson gay's b,,b,4.022,0.2082,1631120507,5.445000172
1,1,15,2,text,tyson gay's beard gives me life,tyson gay's b,,b,4.022,0.1872,1631120509,1.559000015
1,1,16,1,text,tyson gay's beard gives me life,tyson gay's be,,e,4.022,0.2052,1631120515,6.257999897
1,1,16,2,text,tyson gay's beard gives me life,tyson gay's be,,e,4.022,0.226,1631120517,2.245000124
1,1,17,1,text,tyson gay's beard gives me life,tyson gay's bea,,a,4.022,0.0637,1631120523,6.25
1,1,17,2,text,tyson gay's beard gives me life,tyson gay's bea,,a,4.022,0.1694,1631120525,1.56099987
1,1,17,3,text,tyson gay's beard gives me life,tyson gay's bea,,a,4.022,0.0489,1631120527,2.06400013
1,1,18,1,text,tyson gay's beard gives me life,tyson gay's bear,,r,4.022,0.1554,1631120532,5.246999979
1,1,18,2,text,tyson gay's beard gives me life,tyson gay's bear,,r,4.022,0.0339,1631120534,2.064999819
1,1,19,1,text,tyson gay's beard gives me life,tyson gay's beard_,,beard_,4.022,0.1872,1631120542,7.436000109
1,1,19,2,text,tyson gay's beard gives me life,tyson gay's beard_,,beard_,4.022,0.2082,1631120544,2.250999928
1,1,20,1,text,tyson gay's beard gives me life,tyson gay's beard g,,g,4.022,0.2608,1631120551,6.934000015
1,1,20,2,text,tyson gay's beard gives me life,tyson gay's beard g,,g,4.022,0.3415,1631120554,2.998000145
1,1,20,3,text,tyson gay's beard gives me life,tyson gay's beard g,,g,4.022,0.2042,1631120556,2.25
1,1,21,1,text,tyson gay's beard gives me life,tyson gay's beard gives_,,gives_,4.022,0.1624,1631120564,7.690999985
1,1,21,2,text,tyson gay's beard gives me life,tyson gay's beard gives_,,gives_,4.022,0.1066,1631120566,2.125
1,1,22,1,text,tyson gay's beard gives me life,tyson gay's beard gives me_,,me_,4.022,0.1704,1631120574,8.001999855
1,1,22,2,text,tyson gay's beard gives me life,tyson gay's beard gives me_,,me_,4.022,0.2878,1631120576,2.31400013
1,1,23,1,text,tyson gay's beard gives me life,tyson gay's beard gives me l,,l,4.022,0.3017,1631120583,7.121000051
1,1,23,2,text,tyson gay's beard gives me life,tyson gay's beard gives me l,,l,4.022,0.225,1631120585,1.622999907
1,1,23,3,text,tyson gay's beard gives me life,tyson gay's beard gives me l,,l,4.022,0.3377,1631120587,2.381999969
1,1,24,1,text,tyson gay's beard gives me life,tyson gay's beard gives me ly,,y,4.022,0.3655,1631120593,6.058000088
1,1,24,2,text,tyson gay's beard gives me life,tyson gay's beard gives me ly,,y,4.022,1.0126,1631120599,5.189999819
1,1,24,3,text,tyson gay's beard gives me life,tyson gay's beard gives me ly,,y,4.022,0.2798,1631120600,0.998000145
1,1,25,1,text,tyson gay's beard gives me life,tyson gay's beard gives me l,,#,4.022,0.252,1631120605,5.372999907
1,1,25,2,text,tyson gay's beard gives me life,tyson gay's beard gives me l,,#,4.022,0.1534,1631120606,0.873000145
1,1,25,3,text,tyson gay's beard gives me life,tyson gay's beard gives me l,,#,4.022,0.2202,1631120608,2.250999928
1,1,26,1,text,tyson gay's beard gives me life,tyson gay's beard gives me life_,,life_,4.022,0.3525,1631120611,3.190000057
1,1,26,2,text,tyson gay's beard gives me life,tyson gay's beard gives me life_,,life_,4.022,0.1902,1631120615,3.750999928
1,1,26,3,text,tyson gay's beard gives me life,tyson gay's beard gives me life_,,life_,4.022,0.1514,1631120617,2.188999891
1,1,27,1,text,tyson gay's beard gives me life,tyson gay's beard gives me life._,,.,4.022,0.2888,1631120625,8.003000021
1,1,27,2,text,tyson gay's beard gives me life,tyson gay's beard gives me life._,,.,4.022,0.3823,1631120628,2.686000109
1,1,27,3,text,tyson gay's beard gives me life,tyson gay's beard gives me life._,,.,4.022,0.1514,1631120632,3.68599987
1,1,27,4,text,tyson gay's beard gives me life,tyson gay's beard gives me life._,,.,4.022,0.2092,1631120634,2.245000124
1,1,28,1,text,tyson gay's beard gives me life,tyson gay's beard gives me life.._,,.,4.022,1.2097,1631120651,16.87599993
1,1,28,2,text,tyson gay's beard gives me life,tyson gay's beard gives me life.._,,.,4.022,0.2122,1631120659,8.123000145
1,1,28,3,text,tyson gay's beard gives me life,tyson gay's beard gives me life.._,,.,4.022,0.1774,1631120663,3.694000006
1,1,28,4,text,tyson gay's beard gives me life,tyson gay's beard gives me life.._,,.,4.022,0.245,1631120665,2.248999834
1,2,1,1,text,tyson gay's beard gives me life,t,,t,2.98,0.1343,1631121521,125.8510001
1,2,1,2,text,tyson gay's beard gives me life,t,,t,2.98,0.1223,1631121523,1.625
1,2,2,1,text,tyson gay's beard gives me life,ti,,i,2.98,0.5266,1631121525,1.811000109
1,2,2,2,text,tyson gay's beard gives me life,ti,,i,2.98,-0.1468,1631121528,3.747999907
1,2,2,3,text,tyson gay's beard gives me life,ti,,i,2.98,0.2802,1631121531,2.380000114
1,2,2,4,text,tyson gay's beard gives me life,ti,,i,2.98,0.5433,1631121533,2.052999973
1,2,2,5,text,tyson gay's beard gives me life,ti,,i,2.98,0.3607,1631121535,1.875
1,2,3,1,text,tyson gay's beard gives me life,t,,#,2.98,1.1362,1631121538,3.126999855
1,2,3,2,text,tyson gay's beard gives me life,t,,#,2.98,0.2235,1631121541,2.751000166
1,2,3,3,text,tyson gay's beard gives me life,t,,#,2.98,0.302,1631121543,2.753999949
1,2,3,4,text,tyson gay's beard gives me life,t,,#,2.98,0.2205,1631121546,2.993999958
1,2,3,5,text,tyson gay's beard gives me life,t,,#,2.98,0.171,1631121548,1.694000006
1,2,4,1,text,tyson gay's beard gives me life,ty,,y,2.98,0.168,1631121551,3.249000072
1,2,4,2,text,tyson gay's beard gives me life,ty,,y,2.98,0.2672,1631121554,2.375
1,2,4,3,text,tyson gay's beard gives me life,ty,,y,2.98,0.0499,1631121555,1.561999798
1,2,5,1,text,tyson gay's beard gives me life,tyson_,,tyson_,2.98,0.1918,1631121563,7.626000166
1,2,5,2,text,tyson gay's beard gives me life,tyson_,,tyson_,2.98,0.1183,1631121564,1.621000051
1,2,5,3,text,tyson gay's beard gives me life,tyson_,,tyson_,2.98,0.1223,1631121566,1.628999949
1,2,6,1,text,tyson gay's beard gives me life,tyson g,,g,2.98,0.1908,1631121572,5.805999994
1,2,6,2,text,tyson gay's beard gives me life,tyson g,,g,2.98,0.318,1631121573,0.759000063
1,2,6,3,text,tyson gay's beard gives me life,tyson g,,g,2.98,0.176,1631121574,1.678999901
1,2,7,1,text,tyson gay's beard gives me life,tyson ga,,a,2.98,0.304,1631121578,3.628999949
1,2,7,2,text,tyson gay's beard gives me life,tyson ga,,a,2.98,0.161,1631121581,2.934999943
1,2,7,3,text,tyson gay's beard gives me life,tyson ga,,a,2.98,0.1858,1631121583,1.684000015
1,2,8,1,text,tyson gay's beard gives me life,tyson gay,,y,2.98,0.173,1631121586,3.255000114
1,2,8,2,text,tyson gay's beard gives me life,tyson gay,,y,2.98,0.2642,1631121586,0.624000072
1,2,8,3,text,tyson gay's beard gives me life,tyson gay,,y,2.98,0.2325,1631121588,1.747999907
1,2,9,1,text,tyson gay's beard gives me life,tyson gay',,',2.98,0.2565,1631121593,4.569000006
1,2,9,2,text,tyson gay's beard gives me life,tyson gay',,',2.98,0.1868,1631121596,3.25
1,2,9,3,text,tyson gay's beard gives me life,tyson gay',,',2.98,0.1083,1631121598,1.622999907
1,2,10,1,text,tyson gay's beard gives me life,tyson gay's,,s,2.98,0.154,1631121602,4.877000093
1,2,10,2,text,tyson gay's beard gives me life,tyson gay's,,s,2.98,0.1183,1631121604,1.628999949
1,2,11,1,text,tyson gay's beard gives me life,tyson gay's_,,Space,2.98,0.2315,1631121609,4.930999994
1,2,11,2,text,tyson gay's beard gives me life,tyson gay's_,,Space,2.98,0.1113,1631121611,1.618999958
1,2,12,1,text,tyson gay's beard gives me life,tyson gay's b,,b,2.98,0.1223,1631121615,3.881999969
1,2,12,2,text,tyson gay's beard gives me life,tyson gay's b,,b,2.98,0.155,1631121615,0.686000109
1,2,12,3,text,tyson gay's beard gives me life,tyson gay's b,,b,2.98,0.2475,1631121618,3.003000021
1,2,12,4,text,tyson gay's beard gives me life,tyson gay's b,,b,2.98,0.0686,1631121620,1.559999943
1,2,13,1,text,tyson gay's beard gives me life,tyson gay's be,,e,2.98,0.3417,1631121622,1.936000109
1,2,13,2,text,tyson gay's beard gives me life,tyson gay's be,,e,2.98,0.1928,1631121625,3.622999907
1,2,13,3,text,tyson gay's beard gives me life,tyson gay's be,,e,2.98,0.1203,1631121627,1.628000021
1,2,14,1,text,tyson gay's beard gives me life,tyson gay's bea,,a,2.98,0.162,1631121632,4.815999985
1,2,14,2,text,tyson gay's beard gives me life,tyson gay's bea,,a,2.98,0.148,1631121634,2.434000015
1,2,14,3,text,tyson gay's beard gives me life,tyson gay's bea,,a,2.98,0.0509,1631121636,1.559000015
1,2,15,1,text,tyson gay's beard gives me life,tyson gay's bear,,r,2.98,0.1273,1631121646,9.881999969
