User ID,Session Num,Phrase Num,Total Experience (min),Clock Period (s),Click Dist SD (s),Click Dist p95 (s),Click Dist p99 (s),Phrase Text,Typed Text,Entry Rate (wpm),Click Load (clicks/character),Correction Rate (% of selections),Correction Time (s),Correction Click Load Contribution (%),Final Error Rate (%)
7,1,1,0,4.022,0.1495,0.6536,0.8547,tyson gay's beard gives me life,tyson gay's beard gives me life.,1.427,2.188,14.286,19,17.143,0
7,1,2,4.77,2.98,0.2475,1.1563,1.4077,tyson gay's beard gives me life,tyson gay's beard gives me life.,1.88,2.219,4.348,10,7.042,0
7,1,3,8.75,2.98,0.1124,0.4098,0.745,tyson gay's beard gives me life,tyson gay's beard gives me life.,1.548,2.688,13.793,9,10.465,0
7,1,4,12.88,2.98,0.1903,0.7823,1.6018,try to learn something today,try to learn something today.,4.519,1.138,0,0,0,0
7,1,5,14.17,2.98,0.3131,1.49,2.384,i have the best coworkers ever,i have the best coworkers ever.,3.577,1.258,0,0,0,0
7,1,6,15.9,2.98,0.3271,1.7135,2.533,everyone at chopt knows me,everyone at chopt knows me.,2.531,1.667,0,0,0,0
7,2,1,18.03,2.207,0.2308,0.8568,2.384,the best answer for this,the best answer for this  .,3.904,1.296,0,0,0,4
7,2,2,19.42,2.207,0.1285,0.4966,1.0483,i guess patience will pay off,i guess patience will pay off.,3.13,1.733,6.25,4,7.692,0
7,2,3,21.33,2.207,0.0991,0.3035,0.7725,pau gasol is my favorite player,pau gasol is my favorite player.,2.543,2.031,0,0,0,0
7,2,4,23.85,2.207,0.1281,0.4414,0.8,i do recommend your book,i do recommend your book.,3.571,1.76,0,0,0,0
7,2,5,25.25,2.207,0.1977,0.938,1.5449,should i start playing it again,should i start playing it again.,4.22,1.594,0,0,0,0
7,3,1,26.77,1.807,0.2444,1.0207,1.9035,how can sevco be back,how can sevco be back.,2.901,2.409,7.143,4,7.547,0
7,3,2,28.28,1.807,0.1474,0.5195,1.3552,i'm sorry these drivers are gladiators,i'm sorry these drivers are gladiators .,3.221,2.1,8.696,14,11.905,0
7,3,3,30.77,1.807,0.1311,0.6776,0.8809,i love it out here,i love it out here.,3.677,1.947,0,0,0,0
7,3,4,31.8,1.807,0.1578,0.6324,1.423,this rapper desiigner is terrible,this rapper desiigner is terrible.,2.935,2.176,0,0,0,0
7,3,5,34.12,1.807,0.1199,0.6099,0.7228,still supporting the boys through everything,still supporting the boys through everything.,4.5,1.6,5,3,5.556,0
