Session Num,Phrase Num,Selection Num,Click Num,Task,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,1,1,1,text,it's like evra signing for luton,i,,i,4.445,0.005,1651583555,0.0
1,1,1,2,text,it's like evra signing for luton,i,,i,4.445,0.0727,1651583557,2.30700016
1,1,2,1,text,it's like evra signing for luton,it's_,,it's_,4.445,-0.2708,1651583568,11.17499995
1,1,2,2,text,it's like evra signing for luton,it's_,,it's_,4.445,-0.0047,1651583569,1.267999887
1,1,2,3,text,it's like evra signing for luton,it's_,,it's_,4.445,0.0427,1651583573,4.167999983
1,1,3,1,text,it's like evra signing for luton,it's like_,,like_,4.445,0.0854,1651583580,6.641000032
1,1,3,2,text,it's like evra signing for luton,it's like_,,like_,4.445,0.0874,1651583582,2.322999954
1,1,4,1,text,it's like evra signing for luton,it's like e,,e,4.445,0.3158,1651583598,15.59000015
1,1,4,2,text,it's like evra signing for luton,it's like e,,e,4.445,0.2014,1651583603,4.964999914
1,1,4,3,text,it's like evra signing for luton,it's like e,,e,4.445,0.1261,1651583605,2.364000082
1,1,5,1,text,it's like evra signing for luton,it's like ev,,v,4.445,0.0767,1651583617,11.27099991
1,1,5,2,text,it's like evra signing for luton,it's like ev,,v,4.445,0.1034,1651583619,2.305999994
1,1,6,1,text,it's like evra signing for luton,it's like evr,,r,4.445,0.1361,1651583633,13.71300006
1,1,6,2,text,it's like evra signing for luton,it's like evr,,r,4.445,-0.0117,1651583634,0.930000067
1,1,7,1,text,it's like evra signing for luton,it's like evra,,a,4.445,-0.0424,1651583640,6.008999825
1,1,7,2,text,it's like evra signing for luton,it's like evra,,a,4.445,0.1597,1651583642,2.366000175
1,1,8,1,text,it's like evra signing for luton,it's like evra_,,Space,4.445,0.1897,1651583654,12.3499999
1,1,8,2,text,it's like evra signing for luton,it's like evra_,,Space,4.445,0.1747,1651583657,2.384000063
1,1,9,1,text,it's like evra signing for luton,it's like evra s,,s,4.445,0.0547,1651583664,7.440000057
1,1,9,2,text,it's like evra signing for luton,it's like evra s,,s,4.445,0.0557,1651583666,1.640999794
1,1,9,3,text,it's like evra signing for luton,it's like evra s,,s,4.445,0.2354,1651583668,2.460000038
1,1,10,1,text,it's like evra signing for luton,it's like evra si,,i,4.445,0.1777,1651583677,8.943000078
1,1,10,2,text,it's like evra signing for luton,it's like evra si,,i,4.445,0.1581,1651583680,2.379999876
1,1,11,1,text,it's like evra signing for luton,it's like evra signing_,,signing_,4.445,0.0707,1651583686,6.871000051
1,1,11,2,text,it's like evra signing for luton,it's like evra signing_,,signing_,4.445,-0.1111,1651583690,4.018000126
1,1,11,3,text,it's like evra signing for luton,it's like evra signing_,,signing_,4.445,0.035,1651583693,2.26699996
1,1,12,1,text,it's like evra signing for luton,it's like evra signing for_,,for_,4.445,0.2104,1651583699,5.937000036
1,1,12,2,text,it's like evra signing for luton,it's like evra signing for_,,for_,4.445,0.1957,1651583701,2.424999952
1,1,13,1,text,it's like evra signing for luton,it's like evra signing for l,,l,4.445,0.1014,1651583708,6.704999924
1,1,13,2,text,it's like evra signing for luton,it's like evra signing for l,,l,4.445,0.1301,1651583709,1.069000006
