Session Num,Phrase Num,Selection Num,Click Num,Task,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,1,1,1,text,that was actually a question,t,,t,2.98,-0.0793,1655818472,0.0
1,1,1,2,text,that was actually a question,t,,t,2.98,-0.097,1655818476,3.321000099
1,1,1,3,text,that was actually a question,t,,t,2.98,-0.0466,1655818477,1.444000006
1,1,2,1,text,that was actually a question,th,,h,2.98,-0.1488,1655818491,13.63199997
1,1,2,2,text,that was actually a question,th,,h,2.98,-0.0206,1655818492,1.483999968
1,1,3,1,text,that was actually a question,that_,,that_,2.98,-0.0029,1655818498,5.48300004
1,1,3,2,text,that was actually a question,that_,,that_,2.98,-0.0206,1655818499,1.489000082
1,1,4,1,text,that was actually a question,that was_,,was_,2.98,-0.0099,1655818507,8.210999966
1,1,4,2,text,that was actually a question,that was_,,was_,2.98,-0.0346,1655818509,1.481999874
1,1,5,1,text,that was actually a question,that was a,,a,2.98,-0.0169,1655818515,5.817000151
1,1,5,2,text,that was actually a question,that was a,,a,2.98,-0.0169,1655818516,1.50999999
1,1,6,1,text,that was actually a question,that was actually_,,actually_,2.98,0.0509,1655818522,5.75
1,1,6,2,text,that was actually a question,that was actually_,,actually_,2.98,-0.0216,1655818523,1.474999905
1,1,7,1,text,that was actually a question,that was actually a,,a,2.98,-0.1528,1655818527,3.33100009
1,1,7,2,text,that was actually a question,that was actually a,,a,2.98,0.0051,1655818529,1.791999817
1,1,7,3,text,that was actually a question,that was actually a,,a,2.98,0.0121,1655818530,1.514000177
1,1,8,1,text,that was actually a question,that was actually aq,,q,2.98,0.0051,1655818536,5.869999886
1,1,8,2,text,that was actually a question,that was actually aq,,q,2.98,-0.1528,1655818539,2.753000021
1,1,8,3,text,that was actually a question,that was actually aq,,q,2.98,0.0509,1655818541,2.086999893
1,1,8,4,text,that was actually a question,that was actually aq,,q,2.98,-0.1488,1655818542,1.482000113
1,1,9,1,text,that was actually a question,that was actually a,,@,2.98,-0.1528,1655818551,9.16899991
1,1,9,2,text,that was actually a question,that was actually a,,@,2.98,0.0051,1655818555,3.342000008
1,1,9,3,text,that was actually a question,that was actually a,,@,2.98,0.0121,1655818558,3.067000151
1,1,9,4,text,that was actually a question,that was actually a,,@,2.98,-0.0099,1655818561,2.684000015
