Session Num,Phrase Num,Selection Num,Click Num,Task,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,1,1,1,text,i love it out here,i,,i,5.429,2.5509,1646155165,0
1,1,1,2,text,i love it out here,i,,i,5.429,-0.1148,1646155168,2.46600008
1,1,1,3,text,i love it out here,i,,i,5.429,-0.2494,1646155170,2.773999929
1,1,2,1,text,i love it out here,i_,,Space,5.429,0.0449,1646155179,8.200000048
1,1,2,2,text,i love it out here,i_,,Space,5.429,-0.3024,1646155181,2.411999941
1,1,3,1,text,i love it out here,i love_,,love_,5.429,0.3094,1646155196,14.57300019
1,1,3,2,text,i love it out here,i love_,,love_,5.429,-0.2095,1646155197,1.480000019
1,1,3,3,text,i love it out here,i love_,,love_,5.429,-0.6496,1646155199,2.038999796
1,1,3,4,text,i love it out here,i love_,,love_,5.429,0.1727,1646155205,5.384000063
1,1,3,5,text,i love it out here,i love_,,love_,5.429,0.2296,1646155207,2.937000036
1,1,4,1,text,i love it out here,i love it_,,it_,5.429,0.2126,1646155218,10.22300005
1,1,4,2,text,i love it out here,i love it_,,it_,5.429,-0.0339,1646155223,5.19299984
1,1,4,3,text,i love it out here,i love it_,,it_,5.429,0.1158,1646155226,2.830000162
1,1,5,1,text,i love it out here,i love it out_,,out_,5.429,0.014,1646155233,7.297999859
1,1,5,2,text,i love it out here,i love it out_,,out_,5.429,0.3004,1646155234,1.366000175
1,1,5,3,text,i love it out here,i love it out_,,out_,5.429,0.0439,1646155237,2.743999958
1,1,6,1,text,i love it out here,i love it out h,,h,5.429,-0.1158,1646155248,10.72000003
1,1,6,2,text,i love it out here,i love it out h,,h,5.429,0.1727,1646155253,5.40899992
1,1,6,3,text,i love it out here,i love it out h,,h,5.429,0.1727,1646155256,2.878999949
1,1,7,1,text,i love it out here,i love it out here_,,here_,5.429,0.4282,1646155265,9.176000118
1,1,7,2,text,i love it out here,i love it out here_,,here_,5.429,0.4192,1646155267,1.471999884
1,1,7,3,text,i love it out here,i love it out here_,,here_,5.429,0.1328,1646155270,2.832999945
1,1,8,1,text,i love it out here,i love it out here._,,.,5.429,0.1727,1646155280,10.6960001
1,1,8,2,text,i love it out here,i love it out here._,,.,5.429,-0.0339,1646155282,1.607000113
1,1,8,3,text,i love it out here,i love it out here._,,.,5.429,-0.6496,1646155287,4.927999973
1,1,8,4,text,i love it out here,i love it out here._,,.,5.429,-0.2494,1646155289,2.657999992
1,1,9,1,text,i love it out here,i love it out here.._,,.,5.429,-0.1158,1646155295,5.776000023
1,1,9,2,text,i love it out here,i love it out here.._,,.,5.429,-0.0339,1646155296,0.742999792
1,1,9,3,text,i love it out here,i love it out here.._,,.,5.429,0.4282,1646155297,1.231000185
1,1,9,4,text,i love it out here,i love it out here.._,,.,5.429,-0.6496,1646155300,2.78399992
1,2,3,1,text,i'm coming to the show,i,,i,5.429,2.6328,1646155306,5.928999901
1,2,3,2,text,i'm coming to the show,i,,i,5.429,-2.5338,1646155309,2.809000015
1,2,4,1,text,i'm coming to the show,im_,,im_,5.429,-0.2814,1646155311,2.705000162
1,2,4,2,text,i'm coming to the show,im_,,im_,5.429,0.2326,1646155313,1.273999929
1,2,4,3,text,i'm coming to the show,im_,,im_,5.429,0.1727,1646155316,2.859999895
1,2,5,1,text,i'm coming to the show,im c,,c,5.429,0.2765,1646155321,5.343000174
1,2,5,2,text,i'm coming to the show,im c,,c,5.429,0.2186,1646155322,1.263999939
1,2,5,3,text,i'm coming to the show,im c,,c,5.429,0.1228,1646155325,2.823999882
1,2,6,1,text,i'm coming to the show,im coming_,,coming_,5.429,0.1098,1646155329,4.065000057
1,2,6,2,text,i'm coming to the show,im coming_,,coming_,5.429,0.3793,1646155332,3.071000099
1,2,6,3,text,i'm coming to the show,im coming_,,coming_,5.429,0.0439,1646155335,2.743999958
1,2,7,1,text,i'm coming to the show,im coming to_,,to_,5.429,0.0679,1646155338,2.785000086
1,2,7,2,text,i'm coming to the show,im coming to_,,to_,5.429,0.2276,1646155341,2.91899991
1,2,8,1,text,i'm coming to the show,im coming to the_,,the_,5.429,-0.0658,1646155343,2.625
1,2,8,2,text,i'm coming to the show,im coming to the_,,the_,5.429,-0.1936,1646155348,5.032999992
1,2,8,3,text,i'm coming to the show,im coming to the_,,the_,5.429,0.036,1646155351,2.75
