Session Num,Phrase Num,Selection Num,Click Num,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
,,,,,,,,4.022,-0.0636,,
,,,,,,,,4.022,0.0449,,
,,,,,,,,4.022,0.1464,,
,,,,,,,,4.022,-0.0357,,
,,,,,,,,4.022,0.1892,,
,,,,,,,,4.022,0.3455,,
,,,,,,,,4.022,-0.0367,,
,,,,,,,,4.022,0.2202,,
,,,,,,,,4.022,-0.1572,,
,,,,,,,,4.022,0.1146,,
,,,,,,,,4.022,0.25,,
,,,,,,,,4.022,0.3943,,
,,,,,,,,4.022,0.3883,,
,,,,,,,,4.022,0.5218,,
1,1,1,1,soft stop see it see ,soft ,soft,54,4.022,-0.0636,1638455782,0
1,1,1,2,soft stop see it see ,soft ,soft,54,4.022,0.0449,1638455785,2.948999882
1,1,1,3,soft stop see it see ,soft ,soft,54,4.022,0.1464,1638455789,3.623000145
1,1,1,4,soft stop see it see ,soft ,soft,54,4.022,-0.0357,1638455795,6.01699996
1,1,2,1,soft stop see it see ,soft stop ,stop,47,4.022,0.1892,1638455800,5.345000029
1,1,2,2,soft stop see it see ,soft stop ,stop,47,4.022,0.3455,1638455802,2.357999802
1,1,2,3,soft stop see it see ,soft stop ,stop,47,4.022,-0.0367,1638455804,1.976000071
1,1,2,4,soft stop see it see ,soft stop ,stop,47,4.022,0.2202,1638455807,2.217000008
1,1,3,1,soft stop see it see ,soft stop see ,see,40,4.022,-0.1572,1638455813,6.062000036
1,1,3,2,soft stop see it see ,soft stop see ,see,40,4.022,0.1146,1638455816,2.872999907
1,1,3,3,soft stop see it see ,soft stop see ,see,40,4.022,0.25,1638455817,0.976000071
1,1,3,4,soft stop see it see ,soft stop see ,see,40,4.022,0.3943,1638455819,2.384000063
1,1,4,1,soft stop see it see ,soft stop see sad ,it,59,4.022,0.3883,1638455823,3.633999825
1,1,4,2,soft stop see it see ,soft stop see sad ,it,59,4.022,0.5218,1638455823,0.614000082
1,1,4,3,soft stop see it see ,soft stop see sad ,it,59,4.022,0.5378,1638455827,4.016000032
1,1,4,4,soft stop see it see ,soft stop see sad ,it,59,4.022,0.3625,1638455830,2.345000029
1,1,5,1,soft stop see it see ,soft stop see sad see ,see,40,4.022,0.1086,1638455836,6.343999863
1,1,5,2,soft stop see it see ,soft stop see sad see ,see,40,4.022,0.0917,1638455839,3.583000183
1,1,5,3,soft stop see it see ,soft stop see sad see ,see,40,4.022,0.1882,1638455842,2.17599988
1,1,6,1,soft stop see it see ,soft stop see sad see .,.,.,4.022,0.1396,1638455852,10.39199996
1,1,6,2,soft stop see it see ,soft stop see sad see .,.,.,4.022,0.0349,1638455857,4.776000023
1,1,6,3,soft stop see it see ,soft stop see sad see .,.,.,4.022,0.259,1638455859,2.264000177
1,1,6,4,soft stop see it see ,soft stop see sad see .,.,.,4.022,0.2978,1638455861,2.279999971
1,1,7,1,soft stop see it see ,soft stop see sad see ..,.,.,4.022,0.7279,1638455864,2.871999979
1,1,7,2,soft stop see it see ,soft stop see sad see ..,.,.,4.022,0.0201,1638455868,3.967999935
1,1,7,3,soft stop see it see ,soft stop see sad see ..,.,.,4.022,0.3943,1638455871,2.976999998
1,1,7,4,soft stop see it see ,soft stop see sad see ..,.,.,4.022,0.0987,1638455877,6.142999887
1,2,8,1,away something_different big i like ,,away,Options,4.022,-0.0537,1638456081,204.046
1,2,8,2,away something_different big i like ,,away,Options,4.022,0.2858,1638456082,0.701000214
1,2,8,3,away something_different big i like ,,away,Options,4.022,0.0589,1638456086,3.532999992
1,2,9,1,away something_different big i like ,scared ,away,68,4.022,-0.0636,1638456137,50.99699998
1,2,9,2,away something_different big i like ,scared ,away,68,4.022,0.5766,1638456140,3.003000021
