user_id,system,system_label,phrase_attempts,completed_phrases,phrase_completion_rate,mean_correction_rate_percent,mean_attempt_clicks,mean_attempt_time_s,successful_mean_clicks,successful_mean_completion_time_s,completion_by_60s,completion_by_120s,completion_by_180s
A,og_nomon,OG Nomon,100,97,0.97,6.460189999999999,50.24,62.673601129252546,48.79381443298969,60.83225145054671,0.5,0.93,0.97
A,oneclick,OneClick,100,98,0.98,13.00632,19.5,56.35033100000001,19.0,54.785697959183686,0.62,0.95,0.98
B,og_nomon,OG Nomon,100,100,1.0,6.56577,69.04,62.30327213935347,69.04,62.30327213935347,0.54,0.95,1.0
B,oneclick,OneClick,100,99,0.99,11.10096,18.31,52.598423000000004,18.04040404040404,51.81813232323231,0.72,0.98,0.99
C,og_nomon,OG Nomon,100,96,0.96,7.85031,53.54,133.36415336815844,53.447916666666664,133.13788176960088,0.1,0.5,0.72
C,oneclick,OneClick,100,95,0.95,34.11902,28.02,86.71512799999996,27.03157894736842,83.35918842105264,0.39,0.8,0.9
D,og_nomon,OG Nomon,100,99,0.99,5.88164,48.92,76.92774513935333,48.707070707070706,76.67795232931313,0.42,0.81,0.99
D,oneclick,OneClick,100,100,1.0,10.704330000000002,17.32,48.587633000000004,17.32,48.587633000000004,0.75,1.0,1.0
F,og_nomon,OG Nomon,100,98,0.98,4.45751,56.69,92.64464856359581,56.642857142857146,92.65196725661498,0.23,0.72,0.96
F,oneclick,OneClick,100,95,0.95,26.625670000000003,23.45,70.051337,22.294736842105262,65.91741368421053,0.47,0.9,0.95
G,og_nomon,OG Nomon,100,94,0.94,6.98534,57.0,165.13671101536124,56.01063829787234,162.66956111523302,0.01,0.32,0.58
G,oneclick,OneClick,100,58,0.58,55.93152,45.3,138.96992300000014,38.05172413793103,114.8068275862071,0.05,0.4,0.51
