session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,gaze_scale
1,0,1,5.0,7.846226424812681,0.0,7,50
1,0,2,4.0,9.155298793785144,0.0,7,50
1,0,3,3.6,7.511607004522674,0.0,7,50
1,0,4,3.2,10.677089303098727,0.0,7,50
1,0,5,3.0,9.449686885907315,0.0,7,50
1,0,6,3.0,10.05384742584089,0.0,7,50
1,0,7,2.8,11.917115433407366,0.0,7,50
1,0,8,3.0,14.409229846439382,0.0,7,50
1,0,9,2.8,11.872325302688838,0.0,7,50
1,0,10,2.8,12.761929583157961,0.0,7,50
1,0,11,2.8,14.13191935041717,0.0,7,50
1,0,12,2.6,14.066273960740283,0.0,7,50
1,0,13,2.8,10.785376166872334,0.0,7,50
1,0,14,2.8,12.777011485697988,0.0,7,50
1,0,15,3.0,10.330095114534465,0.0,7,50
1,0,16,2.8,10.202651305923393,0.0,7,50
1,0,17,3.2,9.76336240241721,0.0,7,50
1,0,18,3.0,10.146992231434186,0.0,7,50
1,0,19,2.8,10.222385990886313,0.0,7,50
1,0,20,3.0,8.79188405377618,0.0,7,50
2,0,1,3.4,12.84855710080052,0.0,7,50
2,0,2,3.6,9.919442300487258,0.0,7,50
2,0,3,3.6,8.470517546589592,0.0,7,50
2,0,4,3.0,10.967799246654089,0.0,7,50
2,0,5,2.8,13.468414132952413,0.0,7,50
2,0,6,2.8,11.243818289255122,0.0,7,50
2,0,7,3.4,8.853897975947907,0.0,7,50
2,0,8,3.0,11.24487300026957,0.0,7,50
2,0,9,2.8,12.209377751039337,0.0,7,50
2,0,10,2.8,9.326923933540467,0.0,7,50
2,0,11,3.0,10.495746148178915,0.0,7,50
2,0,12,2.8,12.033354219685945,0.0,7,50
2,0,13,2.8,10.976707693020217,0.0,7,50
2,0,14,2.8,9.499119098426142,0.0,7,50
2,0,15,3.4,8.53723992461709,0.0,7,50
2,0,16,2.8,11.065814412904086,0.0,7,50
2,0,17,2.8,10.637738916761062,0.0,7,50
2,0,18,3.0,11.178317654442047,0.0,7,50
2,0,19,2.8,8.513686142540706,0.0,7,50
2,0,20,3.0,8.381687278433908,0.0,7,50
2,0,21,2.0,19.331875508027547,0.0,4,50
3,0,1,2.8,8.925168398994273,0.0,7,50
3,0,2,2.8,11.637496544193343,0.0,7,50
3,0,3,2.8,11.02379321604111,0.0,7,50
3,0,4,2.8,9.623265002504237,0.0,7,50
3,0,5,2.8,9.828704398092176,0.0,7,50
3,0,6,2.8,8.99780706783988,0.0,7,50
3,0,7,2.8,9.598828104059788,0.0,7,50
3,0,8,2.8,11.221607714317535,0.0,7,50
3,0,9,3.0,12.302747566041294,0.0,7,50
3,0,10,2.8,9.739998454146024,0.0,7,50
3,0,11,3.0,12.662615001196302,0.0,7,50
3,0,12,3.2,10.432244545616609,0.0,7,50
3,0,13,3.2,9.261105710270824,0.0,7,50
3,0,14,2.8,10.217526461222143,0.0,7,50
3,0,15,2.8,14.535872675428326,0.0,7,50
3,0,16,3.0,9.99220006157384,0.0,7,50
3,0,17,2.8,13.148699295583922,0.0,7,50
3,0,18,3.0,9.911285731447034,0.0,7,50
3,0,19,2.8,11.838380102756487,0.0,7,50
3,0,20,2.8,8.30955393690046,0.0,7,50
3,0,21,2.8,10.728139961488033,0.0,7,50
3,0,22,2.6,11.692464533571162,0.0,6,50
1,1,1,4.4,9.170896007804808,0.0,7,50
1,1,2,3.2,10.835684592626894,0.0,7,50
1,1,3,3.0,11.87452508784933,0.0,7,50
1,1,4,3.0,10.124071474851428,0.0,7,50
1,1,5,2.8,10.295629187142374,0.0,7,50
1,1,6,2.8,10.647081415127255,0.0,7,50
1,1,7,2.8,12.611958555984797,0.0,7,50
1,1,8,2.8,10.110324689339603,0.0,7,50
1,1,9,2.8,17.683972259948572,0.0,7,50
1,1,10,2.8,10.92524153471642,0.0,7,50
1,1,11,2.8,16.234443609733006,0.0,7,50
1,1,12,2.8,14.682854538025545,0.0,7,50
1,1,13,2.8,11.58343177030196,0.0,7,50
1,1,14,2.8,11.880406227498495,0.0,7,50
1,1,15,2.8,15.536152670578453,0.0,7,50
1,1,16,3.0,10.958788440015084,0.0,7,50
1,1,17,3.0,8.743635586239055,0.0,7,50
1,1,18,2.8,11.872798346773552,0.0,7,50
1,1,19,3.2,9.662007278181663,0.0,7,50
1,1,20,3.0,9.479948693655118,0.0,7,50
1,1,21,3.4,8.070199490926244,0.0,7,50
2,1,1,3.0,13.957585813691331,0.0,7,50
2,1,2,2.8,11.06873228901554,0.0,7,50
2,1,3,3.6,9.823258278353702,0.125,7,50
2,1,4,3.0,9.939153008718064,0.0,7,50
2,1,5,2.8,11.426640641890998,0.0,7,50
2,1,6,2.8,11.701259606946085,0.0,7,50
