session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,gaze_accuracy
1,0,1,7.6,4.957848227,0,7,0
1,0,2,7.4,4.841476972,0,7,0
1,0,3,6,6.709598829,0,7,0
1,0,4,4.4,8.162933343,0,7,0
1,0,5,4.2,6.883978597,0,7,0
1,0,6,4.6,7.995136918,0,7,0
1,0,7,4.2,7.120767462,0,7,0
1,0,8,4.4,8.3516911,0,7,0
1,0,9,4.6,8.327605984,0,7,0
1,0,10,4.6,9.641492009,0,7,0
1,0,11,5.4,6.625881091,0,7,0
2,0,1,5,6.607664563,0,7,0
2,0,2,4.2,5.974725576,0,7,0
2,0,3,4.2,6.626011422,0,7,0
2,0,4,4.2,7.388689916,0,7,0
2,0,5,5.4,6.194894794,0.125,7,0
3,0,1,8.8,4.087122266,0.222222222,7,0
3,0,2,6.4,5.635546471,0.125,7,0
3,0,3,4.6,4.161971345,0,7,0
3,0,4,6.2,4.69735484,0.125,7,0
3,0,5,5,5.966827412,0,7,0
3,0,6,4.8,7.274024215,0,7,0
3,0,7,4.4,5.595933904,0,7,0
3,0,8,6,4.726889445,0.125,7,0
3,0,9,5.6,5.476413176,0.125,7,0
1,1,1,10.4,3.387655434,0.4,7,0
1,1,2,8.2,4.783496637,0.125,7,0
1,1,3,4.8,6.278193334,0,7,0
1,1,4,4.2,8.954150489,0,7,0
1,1,5,4,8.579941715,0,7,0
1,1,6,4.4,8.516081554,0,7,0
1,1,7,4.2,6.317125547,0,7,0
1,1,8,4.8,7.583488659,0,7,0
1,1,9,4.4,8.839011128,0,7,0
1,1,10,5,7.041547452,0,7,0
1,1,11,4.8,8.011805047,0,7,0
2,1,1,4.8,6.360631721,0,7,0
2,1,2,4.4,5.527616755,0,7,0
2,1,3,4.2,6.662641472,0,7,0
2,1,4,4.6,8.593269655,0,7,0
2,1,5,5.8,5.400880046,0.142857143,6,0
3,1,1,9.8,3.492219111,0.5,7,0
3,1,2,7.6,4.105256094,0.222222222,7,0
3,1,3,6,3.42560947,0.125,7,0
3,1,4,4.6,8.553516426,0,7,0
3,1,5,5.4,5.925502728,0.125,7,0
3,1,6,5.4,6.012985811,0.125,7,0
3,1,7,4.4,5.101205622,0,7,0
3,1,8,7,5.11177752,0.222222222,7,0
3,1,9,3.2,12.00076313,0,5,0
1,0,1,7.6,5.572162619,0.125,7,15
1,0,2,5.6,5.846004826,0,7,15
1,0,3,8.4,4.583311719,0.5,10,15
1,0,4,4.8,6.789676037,0,7,15
1,0,5,4,7.352722892,0,7,15
1,0,6,3.6,9.51349061,0,7,15
1,0,7,3.6,10.16722159,0,7,15
1,0,8,3.6,8.412592442,0,7,15
1,0,9,6.6,6.12667283,0.333333333,7,15
1,0,10,3.8,14.4969552,0,7,15
1,0,11,4.4,8.233418404,0,7,15
1,0,12,3.6,10.7344907,0,6,15
2,0,1,4.2,6.17589355,0,7,15
2,0,2,4.2,6.627890244,0,7,15
2,0,3,3.8,6.687381891,0,7,15
2,0,4,4.2,6.906285517,0,7,15
2,0,5,4.8,6.110448078,0.125,7,15
2,0,6,2.6,15.28463316,0,5,15
3,0,1,9.2,4.168960188,0.625,9,15
3,0,2,6.4,5.94066706,0.125,7,15
3,0,3,4.4,4.553824185,0,7,15
3,0,4,4.6,5.706871229,0,7,15
3,0,5,4.4,7.544463513,0,7,15
3,0,6,4.2,8.571538713,0,7,15
3,0,7,4.4,8.254414413,0,7,15
3,0,8,4,5.197126097,0,7,15
3,0,9,7,3.904628928,0.222222222,7,15
3,0,10,3.6,11.43794364,0,7,15
1,1,1,9,4.069182313,0.4,7,15
1,1,2,6.2,5.421072676,0,7,15
1,1,3,4.8,7.275425318,0,7,15
1,1,4,4.2,8.742336274,0,7,15
1,1,5,3.8,8.796361211,0,7,15
1,1,6,3.4,12.19222239,0,7,15
1,1,7,4,10.5626241,0,7,15
1,1,8,3.6,7.563774537,0,7,15
1,1,9,4.2,8.493685282,0,7,15
1,1,10,4.4,8.939263464,0,7,15
1,1,11,3.8,12.6849612,0,7,15
1,1,12,4.4,7.591541712,0,7,15
1,1,13,3.8,9.184953817,0,6,15
2,1,1,4.4,6.269709997,0,7,15
2,1,2,4.4,5.740885086,0,7,15
2,1,3,4,6.537940641,0,7,15
2,1,4,4,8.252316643,0,7,15
2,1,5,4.8,6.276982247,0.125,7,15
2,1,6,2.75,15.74067199,0,4,15
3,1,1,6.8,5.657771499,0.222222222,7,15
3,1,2,7,5.270319146,0.222222222,7,15
3,1,3,4.2,5.481087743,0,7,15
3,1,4,5.4,3.92664488,0.125,7,15
3,1,5,3.8,8.646700336,0,7,15
3,1,6,4.4,7.421560624,0,7,15
3,1,7,4.4,9.430508746,0,7,15
3,1,8,4.2,5.994822736,0,7,15
3,1,9,8.4,3.402608617,0.4,7,15
3,1,10,3.8,9.947297188,0,7,15
1,0,1,5.8,6.034039495,0,7,10
1,0,2,4,8.483309593,0,7,10
1,0,3,7.4,5.341903008,0.5,10,10
1,0,4,4.6,8.750209834,0,7,10
1,0,5,3.4,9.191056558,0,7,10
1,0,6,3.6,9.098719512,0,7,10
1,0,7,3.8,8.886157389,0,7,10
1,0,8,3.4,10.10201532,0,7,10
1,0,9,3.6,8.018035503,0,7,10
1,0,10,4,9.262789869,0,7,10
1,0,11,3.4,11.5913116,0,7,10
1,0,12,4,11.75421219,0,7,10
1,0,13,6.8,5.30746192,0.5,10,10
2,0,1,3.8,7.754675843,0,7,10
2,0,2,3.8,6.738237083,0,7,10
2,0,3,3.8,6.572179614,0,7,10
2,0,4,3.8,7.108315382,0,7,10
2,0,5,3.2,14.07474845,0,7,10
2,0,6,3.4,7.799649898,0,7,10
2,0,7,2.5,15.24443523,0,4,10
3,0,1,14,2.599394029,0.933333333,7,10
3,0,2,3.4,7.276087895,0,7,10
3,0,3,3.8,5.144494413,0,7,10
3,0,4,4,7.950429575,0,7,10
3,0,5,3.2,14.598863,0,7,10
3,0,6,4.4,7.645204619,0,7,10
3,0,7,4.4,8.102242693,0,7,10
3,0,8,3.8,5.656088212,0,7,10
3,0,9,9,3.168108222,0.571428571,10,10
3,0,10,3.4,9.790382561,0,5,10
1,1,1,4.4,8.853859207,0,7,10
1,1,2,12.6,2.90719221,1.428571429,13,10
1,1,3,4.6,8.125578991,0,7,10
1,1,4,4.2,8.022300236,0,7,10
1,1,5,3.2,9.614640419,0,7,10
1,1,6,4.2,8.877470534,0,7,10
1,1,7,3.4,9.737270696,0,7,10
1,1,8,3,8.412721725,0,7,10
1,1,9,3.4,11.81247076,0,7,10
1,1,10,3.4,11.20003331,0,7,10
1,1,11,4.2,9.765812979,0,7,10
1,1,12,4,8.50807552,0,7,10
1,1,13,4,12.91043889,0,7,10
2,1,1,3.6,8.258734685,0,7,10
2,1,2,3.8,6.538768361,0,7,10
2,1,3,3.4,6.924332079,0,7,10
2,1,4,3.8,8.553355998,0,7,10
2,1,5,3.8,9.892618823,0,7,10
2,1,6,4.8,6.298220892,0.125,7,10
3,1,1,14.2,2.603595449,0.769230769,7,10
3,1,2,4,5.650110764,0,7,10
3,1,3,4.8,4.466591419,0,7,10
3,1,4,4,7.458042063,0,7,10
3,1,5,5.6,5.507764745,0.125,7,10
3,1,6,4.2,8.524793998,0,7,10
3,1,7,4.2,5.484472662,0,7,10
3,1,8,4.6,6.28984419,0,7,10
3,1,9,6.6,4.913042693,0.125,7,10
1,0,1,5,8.178260706,0,7,8
1,0,2,4.4,8.747233061,0,7,8
1,0,3,5.2,6.696454419,0,7,8
1,0,4,3.8,10.45794933,0,7,8
1,0,5,4.2,6.939693632,0,7,8
1,0,6,3.8,8.330511248,0,7,8
1,0,7,2.6,15.51552547,0,7,8
1,0,8,2.8,12.36938783,0,7,8
1,0,9,3.8,8.955578644,0,7,8
1,0,10,2.8,9.050656466,0,7,8
1,0,11,3.2,13.91316335,0,7,8
1,0,12,13,2.723648432,0.75,7,8
1,0,13,3.6,11.33480687,0,7,8
2,0,1,3.2,9.733521241,0,7,8
2,0,2,3,13.14156474,0,7,8
2,0,3,3.2,6.242035017,0,7,8
2,0,4,3.4,8.352534934,0,7,8
2,0,5,3.2,9.523645925,0,7,8
2,0,6,2.8,16.43068632,0,7,8
2,0,7,3.6,7.030794004,0,7,8
3,0,1,6,5.768356449,0.5,10,8
3,0,2,4,9.308320388,0,7,8
3,0,3,4.4,8.070178392,0,7,8
3,0,4,3.2,7.389012157,0,7,8
3,0,5,3.6,4.974016554,0,7,8
3,0,6,6.2,4.780928564,0.5,10,8
3,0,7,4.2,8.141027555,0,7,8
3,0,8,4.4,7.182454119,0.125,7,8
3,0,9,3.6,7.335436832,0,7,8
3,0,10,3.4,6.761313767,0,7,8
3,0,11,7.8,3.845431467,0.5,10,8
3,0,12,3.25,10.54315699,0,4,8
1,1,1,6.2,6.021904671,0.5,10,8
1,1,2,4.6,7.412835901,0,7,8
1,1,3,6.2,6.825981417,0.125,7,8
1,1,4,4.4,7.676355276,0,7,8
1,1,5,3.4,8.89298134,0,7,8
1,1,6,3,9.772286728,0,7,8
1,1,7,3,10.50855438,0,7,8
1,1,8,3.2,10.79138602,0,7,8
1,1,9,2.8,12.7182122,0,7,8
1,1,10,3,9.109748874,0,7,8
1,1,11,3.2,12.39404888,0,7,8
1,1,12,3.8,8.944839083,0,7,8
1,1,13,3.6,13.59826131,0,7,8
1,1,14,3.4,11.32046613,0,7,8
1,1,15,4,8.241211978,0,7,8
2,1,1,3.2,8.821583126,0,7,8
2,1,2,3.8,7.342465766,0,7,8
2,1,3,4,5.844120088,0,7,8
2,1,4,3.4,8.240332983,0,7,8
2,1,5,3,11.42408574,0,7,8
2,1,6,4.2,7.637156592,0.125,7,8
2,1,7,2.2,17.35280521,0,5,8
3,1,1,9.4,3.448795468,1.2,13,8
3,1,2,4.8,7.577835132,0,7,8
3,1,3,3.2,8.393532051,0,7,8
3,1,4,3.8,5.096632769,0,7,8
3,1,5,4.2,7.095440393,0,7,8
3,1,6,3.8,7.941897224,0,7,8
3,1,7,4.2,8.286798194,0,7,8
3,1,8,4,8.099277657,0,7,8
3,1,9,3.6,5.218076038,0,7,8
3,1,10,7.8,3.722807705,0.714285714,10,8
3,1,11,4,8.863135039,0,7,8
1,0,1,4.4,8.492024094,0,7,5
1,0,2,4,10.05590549,0,7,5
1,0,3,3.6,9.573019268,0,7,5
1,0,4,4.2,9.511013657,0,7,5
1,0,5,3.6,9.966634904,0,7,5
1,0,6,2.8,11.33490789,0,7,5
1,0,7,3.4,11.17572338,0,7,5
1,0,8,2.8,9.841676153,0,7,5
1,0,9,2.8,13.69401745,0,7,5
1,0,10,3.2,10.20093714,0,7,5
1,0,11,2.4,14.67510694,0,7,5
1,0,12,3,11.49647749,0,7,5
1,0,13,3,12.77308404,0,7,5
1,0,14,3,11.40019074,0,7,5
1,0,15,3,13.95554841,0,7,5
1,0,16,3,14.59131798,0,7,5
1,0,17,3.4,8.879701356,0,7,5
1,0,18,3.6,10.23929497,0,7,5
2,0,1,3,9.426999432,0,7,5
2,0,2,3,11.35040581,0,7,5
2,0,3,2.8,7.075602295,0,7,5
2,0,4,2.6,12.11301557,0,7,5
2,0,5,3.2,8.478475861,0,7,5
2,0,6,2.8,11.94041338,0,7,5
2,0,7,4.4,6.702503348,0.5,10,5
2,0,8,2.5,15.74223729,0,4,5
3,0,1,5.6,6.671574496,0.5,10,5
3,0,2,3.6,9.325158953,0,7,5
3,0,3,3.2,11.33091223,0,7,5
3,0,4,3,11.42765403,0,7,5
3,0,5,3,7.742431497,0,7,5
3,0,6,5.8,3.740856946,0.5,10,5
3,0,7,3.2,11.51210382,0,7,5
3,0,8,3.6,7.744405729,0,7,5
3,0,9,3.2,10.99970205,0,7,5
3,0,10,3,12.5987824,0,7,5
3,0,11,3,6.777279522,0,7,5
3,0,12,3.2,7.109739527,0,7,5
3,0,13,6.8,5.145444089,0.571428571,10,5
3,0,14,3.2,11.11532182,0,7,5
1,1,1,2.8,15.87424971,0,7,5
1,1,2,6.6,5.48752899,0.5,10,5
1,1,3,4.6,7.000205423,0,7,5
1,1,4,3.6,10.09622147,0,7,5
1,1,5,3.6,9.168586704,0,7,5
1,1,6,3,10.75371501,0,7,5
1,1,7,3.2,9.640958798,0,7,5
1,1,8,3,11.49964506,0,7,5
1,1,9,3,9.456992625,0,7,5
1,1,10,2.8,11.41440384,0,7,5
1,1,11,2.8,9.396386841,0,7,5
1,1,12,2.8,13.88486508,0,7,5
1,1,13,3.2,9.667614642,0,7,5
1,1,14,3,14.87635161,0,7,5
1,1,15,2.8,13.45211501,0,7,5
1,1,16,3.2,11.38969008,0,7,5
1,1,17,2.8,13.01889928,0,7,5
1,1,18,2.8,13.12320995,0,6,5
2,1,1,3,9.085869294,0,7,5
2,1,2,3.4,12.32646626,0,7,5
2,1,3,2.8,6.546741181,0,7,5
2,1,4,2.6,10.86514377,0,7,5
2,1,5,3,11.08481095,0,7,5
2,1,6,3,12.15509335,0,7,5
2,1,7,4,7.071115035,0.5,10,5
2,1,8,2,16.40919205,0,5,5
3,1,1,7,4.819449938,1.2,13,5
3,1,2,3,13.40026526,0,7,5
3,1,3,3.6,10.14792191,0,7,5
3,1,4,3.4,8.759032843,0,7,5
3,1,5,3.4,5.162177329,0,7,5
3,1,6,6.2,4.387666225,0.5,10,5
3,1,7,3.6,9.397286208,0,7,5
3,1,8,3.8,9.076297828,0,7,5
3,1,9,3.4,10.51166534,0,7,5
3,1,10,2.8,7.902127403,0,7,5
3,1,11,3.2,6.986102435,0,7,5
3,1,12,8.6,3.930145096,1.2,13,5
1,0,1,6,5.802953135,0,7,12
1,0,2,7,5.208198695,0.125,7,12
1,0,3,5,8.198443348,0,7,12
1,0,4,4.2,7.995900598,0,7,12
1,0,5,4,9.997925929,0,7,12
1,0,6,3.8,8.397921197,0,7,12
1,0,7,3.6,8.580581404,0,7,12
1,0,8,3.6,8.895945287,0,7,12
1,0,9,3.2,8.736976114,0,7,12
1,0,10,4.2,8.505125768,0,7,12
1,0,11,3.2,11.82084737,0,7,12
1,0,12,3.8,11.48524906,0,7,12
1,0,13,4.2,8.196521917,0,7,12
1,0,14,3.8,10.4969164,0,6,12
2,0,1,3.8,8.438832311,0,7,12
2,0,2,3.8,6.641690446,0,7,12
2,0,3,3.8,6.741281561,0,7,12
2,0,4,3.8,8.179275749,0,7,12
2,0,5,3.6,13.63440077,0,7,12
2,0,6,4.6,6.884573824,0.125,7,12
3,0,1,7.6,4.617453729,0.5,10,12
3,0,2,5.2,8.259394084,0,7,12
3,0,3,4.6,6.787685581,0,7,12
