session,trial,phrase,click_load,entry_rate,correction_rate,num_chars
2,0,1,4.4,5.877955835198575,0.0,7
2,0,2,5.2,4.211176581195331,0.0,7
2,0,3,5.4,4.062126419082943,0.0,7
2,0,4,3.75,5.2171947365702405,0.0,4
3,0,1,4.8,3.9572383688509176,0.0,7
3,0,2,5.4,3.5652529731370617,0.0,7
3,0,3,4.2,7.081340094454801,0.0,7
3,0,4,3.8,5.529698675893749,0.0,7
3,0,5,3.4,6.466577617928728,0.0,7
3,0,6,4.6,4.29600826622523,0.125,7
3,0,7,3.2,8.324953753275082,0.0,7
3,0,8,5.0,4.550690567240027,0.125,7
4,0,1,8.4,5.723140316200597,0.125,7
4,0,2,6.2,6.009204464837899,0.0,7
4,0,3,5.8,7.685059970695181,0.0,7
4,0,4,7.0,5.604637867741569,0.125,7
4,0,5,5.4,8.093157828858782,0.0,7
4,0,6,5.0,9.46684788456734,0.0,7
4,0,7,4.4,10.316402475218776,0.0,7
4,0,8,4.4,9.775880533646149,0.0,7
4,0,9,4.4,11.448750305746477,0.0,7
4,0,10,4.6,11.698851731530914,0.0,7
4,0,11,5.6,9.987116122308022,0.0,7
4,0,12,5.4,8.10423068984763,0.0,7
4,0,13,5.6,7.874409978601057,0.0,7
4,0,14,5.8,5.900223807673362,0.0,7
5,0,1,7.6,5.680856755082222,0.125,7
5,0,2,5.2,10.3121322901439,0.0,7
5,0,3,5.2,8.681462196580753,0.0,7
5,0,4,6.2,6.660432240250031,0.0,7
5,0,5,6.6,6.025088222159457,0.0,7
5,0,6,8.2,6.161534998911894,0.0,7
5,0,7,8.2,6.3022859782037335,0.0,7
5,0,8,7.0,6.40597613883802,0.0,7
5,0,9,6.6,7.199810244210241,0.0,7
5,0,10,6.4,6.604775806193082,0.0,7
5,0,11,6.4,6.869469619619772,0.0,7
5,0,12,4.75,7.862025884761942,0.0,4
6,0,1,5.6,7.416670334614112,0.0,7
6,0,2,5.2,9.250797541382989,0.0,7
6,0,3,7.0,5.975418891932249,0.125,7
6,0,4,4.4,9.212645483640948,0.0,7
6,0,5,4.8,8.899273436873091,0.0,7
6,0,6,6.8,5.5525490732888025,0.125,7
6,0,7,5.0,8.716515245350529,0.0,7
6,0,8,6.4,5.944210714437444,0.0,7
6,0,9,5.4,8.327017599156774,0.0,7
6,0,10,4.6,7.81644759558876,0.0,7
6,0,11,6.0,8.029845221721198,0.0,7
6,0,12,5.0,8.42174209751946,0.0,7
6,0,13,6.2,6.950825857763676,0.0,7
7,0,1,4.2,8.96094752660702,0.0,7
7,0,2,4.2,7.920182121156886,0.0,7
7,0,3,4.6,6.277896998107851,0.0,7
7,0,4,3.8,6.397254314050036,0.0,7
7,0,5,3.6,10.93219728148215,0.0,7
7,0,6,4.8,5.855258581057789,0.125,7
7,0,7,3.4,12.821463296858157,0.0,7
7,0,8,4.6,7.051531536583888,0.0,7
7,0,9,4.0,8.41860083433808,0.0,7
7,0,10,6.4,5.248264727834237,0.125,7
8,0,1,8.6,4.878542730668099,0.4,7
8,0,2,9.0,3.680631584518397,0.2222222222222222,7
8,0,3,4.4,8.218129418386088,0.0,7
8,0,4,4.2,8.36762602039654,0.0,7
8,0,5,4.2,8.768227557221618,0.0,7
8,0,6,4.0,8.756229744724783,0.0,7
8,0,7,4.2,8.340221844098178,0.0,7
8,0,8,5.4,7.489294204797009,0.125,7
8,0,9,4.4,10.746141936378626,0.0,7
8,0,10,4.6,9.095849066388345,0.0,7
8,0,11,4.8,6.646326033759281,0.0,7
9,0,1,4.4,6.26970999691223,0.0,7
9,0,2,4.6,5.410508672114924,0.0,7
9,0,3,4.2,6.953009670265415,0.0,7
9,0,4,4.4,8.55956804016047,0.0,7
9,0,5,5.4,6.2919183426782395,0.125,7
10,0,1,12.2,2.9342978924634258,0.5454545454545454,7
10,0,2,5.2,6.106715452685804,0.0,7
10,0,3,5.2,3.9072947024725107,0.0,7
10,0,4,4.8,7.0435825813182955,0.0,7
10,0,5,5.0,6.716832245951134,0.0,7
10,0,6,5.2,7.044226999409255,0.0,7
10,0,7,4.4,5.442506039354025,0.0,7
10,0,8,7.4,3.908532747828749,0.2222222222222222,7
10,0,9,4.0,8.304145539283411,0.0,6
2,1,1,4.2,5.595334335379282,0.0,7
2,1,2,5.2,4.1797965086545945,0.0,7
2,1,3,5.6,3.244100153973503,0.0,7
2,1,4,3.75,5.228526990695823,0.0,4
3,1,1,4.8,4.383890064521121,0.0,7
3,1,2,5.6,3.593801951003049,0.0,7
3,1,3,4.2,8.458970339468245,0.0,7
3,1,4,4.2,4.884936797058374,0.0,7
3,1,5,3.2,6.529654520477381,0.0,7
3,1,6,3.6,5.45710673567718,0.0,7
