2_sigma,time_rotate,session
0.223552274,3.274923012,5
0.221243797,3.274923012,6
0.194431775,3.274923012,7
0.200091356,3.274923012,8
0.213294805,3.274923012,9
0.218193103,3.274923012,10
0.440135472,4,1
0.396106526,4,2
0.466720407,4,3
0.560704787,4,4
0.439636787,4,5
0.361747518,4,6
0.521407397,4,7
0.347764022,4,8
0.38300906,4,9
0.327627013,4,10
0.406166322,4,1
0.271786887,3.274923012,2
0.299372838,3.619349672,3
0.227717192,3.619349672,4
0.26523136,2.963272883,5
0.232837409,2.963272883,6
0.246386233,2.963272883,7
0.207689951,2.426122639,8
0.194999252,2.195246544,9
0.205490343,2.195246544,10
0.268644313,4,1
0.228116967,4,2
0.239359435,4,3
0.510537693,4,4
0.230503653,4,5
0.22549379,4,6
0.238143524,4,7
0.196143259,4,8
0.187758624,4,9
0.213103513,4,10
0.550300297,4,1
0.357762429,4,2
0.376906641,4,3
0.294591603,2.426122639,4
0.32941693,2.426122639,5
0.277704438,2.426122639,6
0.295740085,2.426122639,7
0.258409957,2.426122639,8
0.223870237,2.426122639,9
0.282152826,2.426122639,10
1.126692733,4,1
0.344986157,4,2
0.515766919,4,3
0.354115885,4,4
0.348251996,2.963272883,5
0.30735876,2.963272883,6
0.29856184,2.195246544,7
0.273843242,2.195246544,8
0.218480785,2.195246544,9
0.274564955,2.195246544,10
0.304273113,4,1
0.290395549,4,2
0.303215111,4,3
0.252070168,4,4
0.234465593,4,5
0.233851538,2.963272883,6
0.232929904,2.426122639,7
0.219860344,1.797315856,8
0.212153184,1.797315856,9
0.186170657,1.797315856,10
0.41786201,4,1
0.516438108,4,2
0.415943354,2.426122639,3
0.31936347,2.426122639,4
0.333063488,2.426122639,5
0.36772987,2.426122639,6
0.270216509,2.426122639,7
0.523632653,4,1
0.511842599,4,2
0.35520096,4,3
0.296882149,4,4
0.247493903,4,5
0.279852725,4,6
0.393348371,4,7
0.398097473,4,8
0.20156259,4,9
0.240168341,3.619349672,10
0.29649241,4,1
0.470851877,4,2
0.347175955,4,3
1.037914255,4,1
0.785713824,4,2
0.63803176,4,3
0.528415724,4,4
0.459799665,4,5
0.499099716,4,6
0.403605172,4,7
0.624118914,4,1
0.633321934,4,2
0.227013385,4,1
0.443249289,4,2
0.378348984,4,3
0.319599381,3.619349672,4
0.257584562,3.619349672,5
0.211914682,3.619349672,6
0.221888777,2.681280184,7
0.169070179,2.681280184,8
0.212380098,2.681280184,9
0.161120878,2.681280184,10
0.636509054,4,1
0.466622177,4,2
0.402347441,4,3
0.322674029,3.619349672,4
0.277954539,3.619349672,5
0.272054053,3.619349672,6
0.209542719,3.274923012,7
0.210767602,3.274923012,8
0.217606502,3.274923012,9
0.230578965,3.274923012,10
0.415688488,4,1
0.377476964,4,2
0.361558801,4,3
0.3274045,4,4
0.22574185,4,5
0.320178023,4,6
0.250316826,3.274923012,7
0.273728591,3.274923012,8
0.231361605,2.963272883,9
0.243737567,2.681280184,10
0.456419643,4,1
0.437037881,4,2
0.321694161,4,3
0.249330388,4,4
0.247027392,4,5
0.266417411,4,6
0.258629858,4,7
0.251872435,4,8
0.229825843,4,9
0.291344831,4,10
0.371352426,4,1
0.263504404,4,2
0.303908543,4,3
0.226740278,4,4
0.269744467,4,5
0.23233619,4,6
0.205758262,4,7
0.230975833,4,8
0.202751755,4,9
0.224075497,4,10
