session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,num_clocks
1,0,1,2.8,17.3308931817176,0.0,7,5
1,0,2,2.8,19.864264075668345,0.0,7,5
1,0,3,2.6,20.808761745470044,0.0,7,5
1,0,4,2.4,23.011457936431,0.0,7,5
1,0,5,1.6,33.057092263381314,0.0,7,5
1,0,6,2.4,21.842219900868596,0.0,7,5
1,0,7,2.2,22.646290091894063,0.0,7,5
1,0,8,2.4,21.975635216434327,0.0,7,5
1,0,9,2.2,24.88167985273323,0.0,7,5
1,0,10,1.6,34.35936623882193,0.0,7,5
1,0,11,2.0,27.677689771174947,0.0,7,5
1,0,12,2.2,24.47007175111748,0.0,7,5
1,0,13,1.4,40.19462395500636,0.0,7,5
1,0,14,1.6,33.47763466571117,0.0,7,5
1,0,15,2.2,24.03772037931039,0.0,7,5
1,0,16,1.8,28.888460967243617,0.0,7,5
1,0,17,1.6,33.72832176193829,0.0,7,5
1,0,18,2.2,24.575352169727893,0.0,7,5
1,0,19,1.6,33.893604346738734,0.0,7,5
2,0,1,1.8,32.028394475107426,0.0,7,5
2,0,2,2.2,24.03209293372298,0.0,7,5
2,0,3,1.6,33.81750957974483,0.0,7,5
2,0,4,1.8,30.087552184072184,0.0,7,5
2,0,5,1.8,29.566256789025168,0.0,7,5
2,0,6,2.8,20.000357150948624,0.0,7,5
2,0,7,2.0,26.83718851479458,0.0,7,5
2,0,8,1.8,30.023538169971463,0.0,7,5
2,0,9,2.0,26.723805826092185,0.0,7,5
2,0,10,1.6,33.76408760759859,0.0,7,5
2,0,11,1.8,29.113676565006745,0.0,7,5
2,0,12,1.6,35.8382640563,0.0,7,5
2,0,13,1.8,29.609953761884896,0.0,7,5
2,0,14,2.0,28.028068494571137,0.0,7,5
2,0,15,2.2,23.84163407108062,0.0,7,5
2,0,16,2.0,27.58572627988457,0.0,7,5
2,0,17,2.2,24.782286257174686,0.0,7,5
2,0,18,1.6,34.72628546241141,0.0,7,5
2,0,19,2.2,24.15865290083705,0.0,7,5
2,0,20,2.2,23.467206296668536,0.0,7,5
3,0,1,2.2,23.728268940201186,0.0,7,5
3,0,2,2.0,28.483119529740076,0.0,7,5
3,0,3,2.0,27.87180020273246,0.0,7,5
3,0,4,1.8,30.474042900163536,0.0,7,5
3,0,5,1.8,31.047659632244198,0.0,7,5
3,0,6,2.0,28.79168983541576,0.0,7,5
3,0,7,1.6,33.24099883946369,0.0,7,5
3,0,8,1.6,26.70274962778111,0.0,7,5
3,0,9,1.6,35.40215249739718,0.0,7,5
3,0,10,2.2,25.050233637003696,0.0,7,5
