session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,num_clocks
1,0,1,7.8,7.31014919140246,0.0,7,178
1,0,2,7.0,7.5938502916327835,0.0,7,178
1,0,3,6.2,8.317017937013766,0.0,7,178
1,0,4,6.0,8.044767785798866,0.0,7,178
1,0,5,5.8,9.219175313706774,0.0,7,178
1,0,6,5.6,9.543637359377984,0.0,7,178
2,0,1,6.0,9.21885275662184,0.0,7,178
2,0,2,6.2,8.721639994700041,0.0,7,178
2,0,3,6.0,8.562951740313064,0.0,7,178
2,0,4,6.0,8.629672600109961,0.0,7,178
2,0,5,5.6,11.927014764877459,0.0,7,178
2,0,6,5.6,11.189732587038817,0.0,7,178
2,0,7,4.6,12.388020206603821,0.0,5,178
3,0,1,6.6,7.729834719386802,0.0,7,178
3,0,2,6.6,6.266179698727072,0.0,7,178
3,0,3,6.0,7.880553324633535,0.0,7,178
3,0,4,5.6,9.074929839410473,0.0,7,178
3,0,5,5.8,8.631550177241097,0.0,7,178
3,0,6,6.0,9.120981551406807,0.0,7,178
3,0,7,4.25,12.520989140453088,0.0,4,178
4,0,1,6.0,9.373923575101012,0.0,7,178
4,0,2,6.0,8.780547251629786,0.0,7,178
4,0,3,5.8,9.02556600245495,0.0,7,178
4,0,4,5.2,10.099743724864146,0.0,7,178
4,0,5,5.2,10.403847547934229,0.0,7,178
4,0,6,5.6,7.271184652374643,0.0,7,178
4,0,7,6.0,8.12838067524374,0.0,7,178
5,0,1,5.8,9.603899117969105,0.0,7,178
5,0,2,5.6,8.296452812346477,0.0,7,178
5,0,3,5.8,8.586172291709415,0.0,7,178
5,0,4,5.6,8.649076038368433,0.0,7,178
5,0,5,5.8,8.856308764123904,0.0,7,178
5,0,6,6.0,7.836416487452894,0.0,7,178
5,0,7,5.4,9.14808633503495,0.0,6,178
1,1,1,6.8,7.347804370966306,0.0,7,178
1,1,2,6.4,8.60543957222276,0.0,7,178
1,1,3,6.0,9.390308762545956,0.0,7,178
1,1,4,6.2,7.495585534411175,0.0,7,178
1,1,5,5.6,10.130715906480447,0.0,7,178
1,1,6,5.8,8.18803181841708,0.0,7,178
2,1,1,6.0,8.820020102907208,0.0,7,178
2,1,2,6.2,9.152332053646806,0.0,7,178
2,1,3,5.8,9.683397490051753,0.0,7,178
2,1,4,5.8,8.967108137274566,0.0,7,178
2,1,5,5.8,8.573250460020923,0.0,7,178
2,1,6,5.6,8.470742140640144,0.0,7,178
2,1,7,4.8,9.424199025540336,0.0,6,178
3,1,1,6.2,8.032027959943035,0.0,7,178
3,1,2,6.8,7.2381549756770625,0.0,7,178
3,1,3,5.6,8.237559730257413,0.0,7,178
3,1,4,5.8,8.868209623317453,0.0,7,178
3,1,5,5.8,8.807569693393903,0.0,7,178
3,1,6,5.6,9.002145096941087,0.0,7,178
3,1,7,4.2,13.905065577010921,0.0,5,178
4,1,1,6.2,7.957547999468598,0.0,7,178
4,1,2,5.8,9.082168276740846,0.0,7,178
4,1,3,5.8,9.652296420553505,0.0,7,178
4,1,4,4.8,13.638082997514989,0.0,7,178
4,1,5,5.4,9.000034496117658,0.0,7,178
4,1,6,5.6,8.18891827689192,0.0,7,178
4,1,7,5.8,8.532539534236449,0.0,7,178
5,1,1,6.0,8.548626246108014,0.0,7,178
5,1,2,6.0,8.43105284016102,0.0,7,178
5,1,3,5.6,7.858657332643635,0.0,7,178
5,1,4,5.6,8.465551559712868,0.0,7,178
5,1,5,5.4,8.79413933181432,0.0,7,178
5,1,6,5.6,10.983010382647945,0.0,7,178
5,1,7,5.6,8.60514540460551,0.0,7,178
1,2,1,6.6,7.139973084301175,0.0,7,178
1,2,2,6.6,7.472369658975554,0.0,7,178
1,2,3,5.8,10.034773191718916,0.0,7,178
1,2,4,6.2,9.108662017738087,0.0,7,178
1,2,5,6.0,8.714129576247114,0.0,7,178
1,2,6,5.6,10.023994564601201,0.0,7,178
2,2,1,6.0,8.327642269900785,0.0,7,178
2,2,2,6.2,8.746585349782613,0.0,7,178
2,2,3,6.0,7.992278778264137,0.0,7,178
2,2,4,5.6,9.015286532679637,0.0,7,178
2,2,5,5.6,9.776545792251932,0.0,7,178
2,2,6,5.8,9.6039496338787,0.0,7,178
2,2,7,4.8,11.040314983434873,0.0,6,178
3,2,1,6.2,8.042589910650499,0.0,7,178
3,2,2,6.6,7.981942384272455,0.0,7,178
3,2,3,5.6,8.181751980202883,0.0,7,178
3,2,4,5.6,8.759798149968892,0.0,7,178
3,2,5,5.6,8.287665737969588,0.0,7,178
3,2,6,6.2,8.851323376450996,0.0,7,178
3,2,7,4.2,11.521411989570558,0.0,5,178
4,2,1,6.0,9.108674907182682,0.0,7,178
4,2,2,5.6,8.797848666524196,0.0,7,178
4,2,3,5.4,9.00839114995139,0.0,7,178
4,2,4,5.4,8.760021715747424,0.0,7,178
4,2,5,4.8,11.094223372573135,0.0,7,178
4,2,6,5.4,8.91023484335468,0.0,7,178
4,2,7,5.4,8.959162722474055,0.0,7,178
5,2,1,5.8,9.339910141317795,0.0,7,178
5,2,2,5.6,7.779374629820793,0.0,7,178
5,2,3,5.6,8.772961058815804,0.0,7,178
5,2,4,5.6,10.287245604578306,0.0,7,178
5,2,5,5.2,10.564834511788206,0.0,7,178
5,2,6,6.0,7.96122901755626,0.0,7,178
5,2,7,5.8,8.938166189061928,0.0,7,178
1,3,1,6.6,7.582567428541152,0.0,7,178
1,3,2,6.6,7.124210302643,0.0,7,178
1,3,3,5.8,9.504570446665026,0.0,7,178
1,3,4,6.2,8.9487354911667,0.0,7,178
1,3,5,5.8,9.879820076892026,0.0,7,178
1,3,6,6.2,7.8866223188673885,0.0,7,178
2,3,1,5.6,9.66604286815374,0.0,7,178
2,3,2,5.4,11.099841457966516,0.0,7,178
2,3,3,5.8,10.295207750084366,0.0,7,178
2,3,4,6.4,7.827404229512641,0.0,7,178
2,3,5,5.6,10.08153987499065,0.0,7,178
2,3,6,5.6,8.129639125676967,0.0,7,178
2,3,7,5.6,9.919404589092052,0.0,6,178
3,3,1,6.6,8.925569968240742,0.0,7,178
3,3,2,6.2,8.694146964185501,0.0,7,178
3,3,3,6.0,7.1679175111511855,0.0,7,178
3,3,4,5.8,9.338173309888187,0.0,7,178
3,3,5,5.6,7.870763947298024,0.0,7,178
3,3,6,6.0,7.9411082910112,0.0,7,178
3,3,7,4.75,11.430119196597191,0.0,4,178
