session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,num_clocks
1,0,1,5.8,6.997754116602907,0.0,7,56
1,0,2,4.0,8.147653580812241,0.0,7,56
1,0,3,3.8,6.862086982218474,0.0,7,56
1,0,4,3.0,10.635661027098099,0.0,7,56
1,0,5,2.8,10.847985207476821,0.0,7,56
1,0,6,3.0,11.005245861614876,0.0,7,56
1,0,7,2.8,8.925389085965348,0.0,7,56
1,0,8,3.0,15.13674720000177,0.0,7,56
1,0,9,2.8,10.658663830383391,0.0,7,56
1,0,10,2.8,18.226124688381116,0.0,7,56
1,0,11,2.8,12.036128649022153,0.0,7,56
1,0,12,2.8,15.64390114028342,0.0,7,56
1,0,13,2.8,14.645721873594745,0.0,7,56
1,0,14,2.8,14.370503208505102,0.0,7,56
1,0,15,2.8,13.937630316048413,0.0,7,56
1,0,16,2.8,8.144130070081887,0.0,7,56
1,0,17,3.0,10.10818046934096,0.0,7,56
1,0,18,3.0,12.746025311759034,0.0,7,56
1,0,19,3.0,9.569672100127518,0.0,7,56
1,0,20,3.2,7.749775666161501,0.0,7,56
2,0,1,4.0,9.175225894714393,0.0,7,56
2,0,2,4.2,7.999134332485612,0.0,7,56
2,0,3,3.4,9.772843148040625,0.0,7,56
2,0,4,3.0,9.396609873604449,0.0,7,56
2,0,5,2.8,10.406040880736665,0.0,7,56
2,0,6,3.0,11.371312582174424,0.0,7,56
2,0,7,3.0,10.649726510996882,0.0,7,56
2,0,8,2.8,11.144355239007362,0.0,7,56
2,0,9,2.8,13.296689885685918,0.0,7,56
2,0,10,2.8,9.798254648762677,0.0,7,56
2,0,11,2.8,15.296297313525256,0.0,7,56
2,0,12,2.8,12.779423302676863,0.0,7,56
2,0,13,2.8,10.35794696935804,0.0,7,56
2,0,14,2.8,10.593649971630443,0.0,7,56
2,0,15,3.0,10.977977211539644,0.0,7,56
2,0,16,2.8,14.677361500579156,0.0,7,56
2,0,17,2.8,11.695518421872794,0.0,7,56
2,0,18,3.0,10.346291756950286,0.0,7,56
2,0,19,2.8,8.962833082421934,0.0,7,56
2,0,20,3.0,7.516429829680062,0.0,7,56
2,0,21,2.0,17.721472259335506,0.0,4,56
3,0,1,3.2,8.19421114864149,0.0,7,56
3,0,2,2.8,12.986679853163833,0.0,7,56
3,0,3,2.8,10.577213342705457,0.0,7,56
3,0,4,2.8,10.120906919286176,0.0,7,56
3,0,5,2.8,11.818754643464617,0.0,7,56
3,0,6,2.8,9.051029510741682,0.0,7,56
3,0,7,2.8,10.634216149603876,0.0,7,56
3,0,8,2.8,9.833334324345412,0.0,7,56
3,0,9,2.8,14.687527207760331,0.0,7,56
3,0,10,2.8,11.042864985675449,0.0,7,56
3,0,11,2.8,12.406601853184885,0.0,7,56
3,0,12,3.2,10.762685536112329,0.0,7,56
3,0,13,3.0,11.782295219454515,0.0,7,56
3,0,14,2.8,9.990806319530373,0.0,7,56
3,0,15,2.8,16.382505044609918,0.0,7,56
3,0,16,3.2,9.334037179553102,0.0,7,56
3,0,17,2.8,12.926382243754809,0.0,7,56
3,0,18,2.8,11.124344926000523,0.0,7,56
3,0,19,2.8,12.272250423772904,0.0,7,56
3,0,20,2.8,9.178270953036504,0.0,7,56
3,0,21,2.8,11.11735773199335,0.0,7,56
3,0,22,2.8,12.708490494533459,0.0,6,56
1,1,1,4.6,8.968595585936407,0.0,7,56
1,1,2,3.4,10.569416149316961,0.0,7,56
1,1,3,3.2,9.68740605891751,0.0,7,56
1,1,4,3.0,9.27790323957297,0.0,7,56
1,1,5,3.2,8.699359851478357,0.0,7,56
1,1,6,2.8,8.718865970843593,0.0,7,56
1,1,7,2.8,14.7911088664096,0.0,7,56
1,1,8,2.8,13.18608513032499,0.0,7,56
1,1,9,2.8,10.569462690113745,0.0,7,56
1,1,10,2.8,12.094145972613415,0.0,7,56
1,1,11,2.8,12.83649188324369,0.0,7,56
1,1,12,2.8,13.920698256623758,0.0,7,56
1,1,13,2.8,10.715595576525716,0.0,7,56
1,1,14,3.0,13.264106076122783,0.0,7,56
1,1,15,2.8,12.443148087517711,0.0,7,56
1,1,16,2.8,16.30129205363069,0.0,7,56
1,1,17,3.0,7.89529998868194,0.0,7,56
1,1,18,3.4,9.222009760348046,0.0,7,56
1,1,19,3.2,10.09826956206789,0.0,7,56
1,1,20,3.0,9.136869468221345,0.0,7,56
1,1,21,2.0,16.43327840094173,0.0,5,56
2,1,1,2.8,17.867787249174302,0.0,7,56
2,1,2,3.0,11.35868572399355,0.0,7,56
2,1,3,3.8,8.302854263310424,0.125,7,56
2,1,4,3.0,9.722082522815098,0.0,7,56
2,1,5,2.8,10.481131489127273,0.0,7,56
2,1,6,2.8,9.967151814732947,0.0,7,56
2,1,7,3.0,10.326109364079997,0.0,7,56
2,1,8,3.0,10.287250676155626,0.0,7,56
2,1,9,2.8,12.369345409075516,0.0,7,56
2,1,10,2.8,9.778423335921886,0.0,7,56
2,1,11,2.8,13.349331604089379,0.0,7,56
2,1,12,2.8,13.556708564768122,0.0,7,56
2,1,13,2.8,11.945201303020324,0.0,7,56
2,1,14,2.8,14.973166923109009,0.0,7,56
2,1,15,3.0,9.032417398316191,0.0,7,56
2,1,16,2.8,10.834023354048718,0.0,7,56
2,1,17,2.8,11.243703712335662,0.0,7,56
2,1,18,2.8,13.566686669079086,0.0,7,56
2,1,19,3.2,10.055981770487495,0.0,7,56
2,1,20,2.8,8.095688080885644,0.0,7,56
2,1,21,3.0,8.864418402626164,0.0,7,56
3,1,1,3.0,10.181306600063916,0.0,7,56
3,1,2,3.4,9.482812201788018,0.0,7,56
3,1,3,3.0,9.836294965136,0.0,7,56
3,1,4,2.8,9.889461893116517,0.0,7,56
3,1,5,3.0,10.048362959593888,0.0,7,56
3,1,6,2.8,9.989550368103536,0.0,7,56
3,1,7,3.0,11.658121300389217,0.0,7,56
3,1,8,2.8,11.849909602614868,0.0,7,56
3,1,9,2.8,13.19645233099216,0.0,7,56
3,1,10,2.8,11.920333920368742,0.0,7,56
3,1,11,3.0,10.711495614722347,0.0,7,56
3,1,12,2.8,13.292247834684952,0.0,7,56
3,1,13,3.2,9.426007162796962,0.0,7,56
3,1,14,2.8,13.162077976015418,0.0,7,56
3,1,15,3.0,10.263531439542485,0.0,7,56
3,1,16,2.8,15.453299550377785,0.0,7,56
3,1,17,2.8,9.769194347157955,0.0,7,56
3,1,18,2.8,12.440933846820203,0.0,7,56
3,1,19,2.8,13.499872379626082,0.0,7,56
3,1,20,2.8,10.362955842466778,0.0,7,56
3,1,21,3.0,9.70395593265237,0.0,7,56
3,1,22,2.25,14.306246597565279,0.0,4,56
1,2,1,4.6,7.993105778836229,0.0,7,56
1,2,2,3.6,9.383402437611585,0.0,7,56
1,2,3,3.6,7.292811358363797,0.0,7,56
1,2,4,2.8,11.638697879673533,0.0,7,56
1,2,5,3.2,8.594073908637784,0.0,7,56
1,2,6,2.8,9.912090026848379,0.0,7,56
1,2,7,2.8,11.222345284026508,0.0,7,56
1,2,8,2.8,13.35805760464024,0.0,7,56
1,2,9,2.8,13.429431627121062,0.0,7,56
1,2,10,2.8,13.460399414274606,0.0,7,56
